timesteps,episode_reward,episode_cost,episode_len,unsafe_rate,tps,latency,mask_ratio,lagrangian_lambda,constraint_violation
60,248.16340178251266,0.0,60,0.0,13284.436765520604,23.962167389372198,0.2355416666666667,0.1,0.0
120,354.1261146068573,0.0,60,0.0,13273.632911825067,23.33542579724231,0.2376249999999999,0.0964,0.0
180,350.9287016391754,0.0,60,0.0,13326.766247811807,23.90518247085929,0.24125000000000002,0.0928,0.0
240,387.1891117095947,0.0,60,0.0,13163.862370710314,21.51556394289216,0.2303333333333333,0.08919999999999999,0.0
300,391.0971279144287,0.0,60,0.0,13041.001881499951,21.74042998347121,0.22987499999999997,0.08559999999999998,0.0
360,395.8993253707886,0.0,60,0.0,13477.17275830763,20.774339654996748,0.24320833333333328,0.08199999999999998,0.0
420,404.32357931137085,0.0,60,0.0,13551.997829448777,20.678068575310824,0.2523333333333333,0.07839999999999997,0.0
480,402.72276973724365,0.0,60,0.0,13365.710271746215,21.128544983183414,0.25287499999999996,0.07479999999999996,0.0
