m,theta,legality_count,total_checked_count,legality_ratio,scenario
5,0.45,448,1440,0.3111111111111111,malicious_burst
5,0.5,448,1440,0.3111111111111111,malicious_burst
5,0.55,446,1440,0.30972222222222223,malicious_burst
5,0.6,427,1440,0.2965277777777778,malicious_burst
7,0.45,440,1440,0.3055555555555556,malicious_burst
7,0.5,430,1440,0.2986111111111111,malicious_burst
7,0.55,406,1440,0.28194444444444444,malicious_burst
7,0.6,340,1440,0.2361111111111111,malicious_burst
9,0.45,384,1440,0.26666666666666666,malicious_burst
9,0.5,368,1440,0.25555555555555554,malicious_burst
9,0.55,311,1440,0.21597222222222223,malicious_burst
9,0.6,214,1440,0.1486111111111111,malicious_burst
