scenario,used_backstop_template_rate_mean,used_backstop_template_rate_std,structural_infeasible_rate_mean,structural_infeasible_rate_std,policy_invalid_rate_mean,policy_invalid_rate_std,TPS_mean,TPS_std,unsafe_rate_mean,unsafe_rate_std
churn_burst,0.053984662821541574,0.00667415109940928,0.01829854100332068,7.99662431918978e-05,0.0,0.0,12290.427267793384,598.2998222972722,0.0,0.0
high_rtt_burst,0.02263888888888889,0.007075158681638908,0.0,0.0,0.0,0.0,11052.230568114386,515.8479858963872,0.0,0.0
load_shock,0.020555555555555556,0.0021739549781247943,0.0,0.0,0.0,0.0,13588.087198139849,624.2817647974175,0.0,0.0
malicious_burst,0.05510634211916079,0.007178655822076113,0.0021921359642805703,0.00037198019789892793,0.0,0.0,12668.502446355564,543.2258545416807,0.0003144654088050315,0.00043059949489399855
