m,theta,legality_count,total_checked_count,legality_ratio,scenario
5,0.45,484,1440,0.33611111111111114,load_shock
5,0.5,484,1440,0.33611111111111114,load_shock
5,0.55,481,1440,0.33402777777777776,load_shock
5,0.6,429,1440,0.29791666666666666,load_shock
7,0.45,484,1440,0.33611111111111114,load_shock
7,0.5,480,1440,0.3333333333333333,load_shock
7,0.55,449,1440,0.31180555555555556,load_shock
7,0.6,327,1440,0.22708333333333333,load_shock
9,0.45,468,1440,0.325,load_shock
9,0.5,445,1440,0.3090277777777778,load_shock
9,0.55,348,1440,0.24166666666666667,load_shock
9,0.6,216,1440,0.15,load_shock
