m,theta,mean_ratio,std_ratio,min_ratio,max_ratio
5,0.45,0.2782986111111111,0.06497015528436806,0.1875,0.33611111111111114
5,0.5,0.27395833333333336,0.07312580237680151,0.1701388888888889,0.33611111111111114
5,0.55,0.2689236111111111,0.07954016628712528,0.15486111111111112,0.33402777777777776
5,0.6,0.24809027777777778,0.07882148390247723,0.13194444444444445,0.29791666666666666
7,0.45,0.2720486111111111,0.07252512823720511,0.16944444444444445,0.33611111111111114
7,0.5,0.26493055555555556,0.07887474605882176,0.15208333333333332,0.3333333333333333
7,0.55,0.24739583333333334,0.0794633310074165,0.13194444444444445,0.31180555555555556
7,0.6,0.19565972222222222,0.05638094897119952,0.11319444444444444,0.2361111111111111
9,0.45,0.2505208333333333,0.07375809704801253,0.1486111111111111,0.325
9,0.5,0.23576388888888888,0.07668817633044152,0.12777777777777777,0.3090277777777778
9,0.55,0.19201388888888887,0.06005104353146668,0.10486111111111111,0.24166666666666667
9,0.6,0.12204861111111111,0.03318047028809408,0.08194444444444444,0.15
