action,count,ratio
0.259259|0.45|320|80,284,0.002958333333333333
0.333333|0.60|512|60,282,0.0029375
0.185185|0.50|320|80,280,0.002916666666666667
0.185185|0.55|256|40,279,0.00290625
0.259259|0.50|384|60,278,0.002895833333333333
0.333333|0.45|320|60,278,0.002895833333333333
0.185185|0.50|256|40,277,0.0028854166666666668
0.259259|0.45|256|80,275,0.002864583333333333
0.333333|0.60|448|60,275,0.002864583333333333
0.333333|0.50|448|100,274,0.0028541666666666667
0.333333|0.45|320|100,272,0.0028333333333333335
0.333333|0.60|448|40,271,0.0028229166666666667
0.259259|0.55|256|80,271,0.0028229166666666667
0.333333|0.55|448|40,271,0.0028229166666666667
0.333333|0.45|512|40,270,0.0028125
0.185185|0.55|320|80,270,0.0028125
0.185185|0.50|256|80,269,0.0028020833333333335
0.333333|0.50|256|100,267,0.00278125
0.259259|0.60|512|60,264,0.00275
0.185185|0.50|384|80,264,0.00275
0.185185|0.45|512|40,263,0.0027395833333333335
0.333333|0.55|448|80,263,0.0027395833333333335
0.333333|0.55|512|80,262,0.0027291666666666666
0.259259|0.55|320|80,262,0.0027291666666666666
0.333333|0.55|256|60,261,0.00271875
0.185185|0.55|512|100,261,0.00271875
0.185185|0.50|448|80,261,0.00271875
0.259259|0.60|320|100,261,0.00271875
0.259259|0.55|512|80,260,0.0027083333333333334
0.333333|0.45|512|100,260,0.0027083333333333334
0.185185|0.60|320|40,259,0.0026979166666666666
0.333333|0.45|512|60,259,0.0026979166666666666
0.333333|0.50|320|100,258,0.0026875
0.259259|0.50|320|40,257,0.0026770833333333334
0.333333|0.60|512|40,257,0.0026770833333333334
0.185185|0.45|448|40,257,0.0026770833333333334
0.333333|0.50|512|80,257,0.0026770833333333334
0.259259|0.55|384|60,257,0.0026770833333333334
0.333333|0.45|384|40,255,0.00265625
0.259259|0.60|512|40,255,0.00265625
0.259259|0.60|512|100,254,0.0026458333333333334
0.333333|0.50|320|60,254,0.0026458333333333334
0.185185|0.50|320|100,254,0.0026458333333333334
0.259259|0.60|448|40,251,0.0026145833333333333
0.333333|0.50|256|40,251,0.0026145833333333333
0.259259|0.60|320|60,251,0.0026145833333333333
0.333333|0.50|320|40,250,0.0026041666666666665
0.185185|0.60|512|80,248,0.0025833333333333333
0.333333|0.60|320|40,247,0.0025729166666666665
0.333333|0.45|320|80,246,0.0025625
0.259259|0.60|448|100,246,0.0025625
0.333333|0.55|320|80,246,0.0025625
0.185185|0.60|256|40,246,0.0025625
0.259259|0.50|256|80,245,0.0025520833333333333
0.185185|0.45|256|60,244,0.0025416666666666665
0.259259|0.50|512|40,244,0.0025416666666666665
0.259259|0.45|256|100,244,0.0025416666666666665
0.333333|0.60|448|100,244,0.0025416666666666665
0.185185|0.55|384|100,242,0.0025208333333333333
0.259259|0.45|448|100,242,0.0025208333333333333
0.259259|0.50|448|80,241,0.002510416666666667
0.185185|0.50|448|40,241,0.002510416666666667
0.185185|0.50|512|100,241,0.002510416666666667
0.333333|0.45|256|40,241,0.002510416666666667
0.259259|0.60|512|80,241,0.002510416666666667
0.333333|0.55|256|40,240,0.0025
0.333333|0.50|384|60,239,0.0024895833333333332
0.333333|0.60|384|40,239,0.0024895833333333332
0.185185|0.60|256|60,239,0.0024895833333333332
0.333333|0.50|384|100,239,0.0024895833333333332
0.185185|0.55|448|80,239,0.0024895833333333332
0.333333|0.55|384|80,239,0.0024895833333333332
0.333333|0.55|384|60,239,0.0024895833333333332
0.259259|0.55|512|40,239,0.0024895833333333332
0.185185|0.55|384|80,238,0.002479166666666667
0.333333|0.50|256|80,237,0.00246875
0.185185|0.55|512|60,237,0.00246875
0.333333|0.55|448|60,237,0.00246875
0.333333|0.50|320|80,237,0.00246875
0.259259|0.55|512|60,237,0.00246875
0.333333|0.60|448|80,236,0.002458333333333333
0.185185|0.60|448|80,236,0.002458333333333333
0.259259|0.50|320|100,235,0.002447916666666667
0.259259|0.60|320|80,235,0.002447916666666667
0.259259|0.60|448|60,234,0.0024375
0.259259|0.50|320|60,234,0.0024375
0.333333|0.60|320|80,233,0.002427083333333333
0.259259|0.50|256|100,233,0.002427083333333333
0.259259|0.45|448|80,233,0.002427083333333333
0.333333|0.55|384|100,232,0.002416666666666667
0.259259|0.50|448|60,232,0.002416666666666667
0.185185|0.55|320|60,232,0.002416666666666667
0.185185|0.60|256|100,232,0.002416666666666667
0.185185|0.50|512|40,231,0.00240625
0.259259|0.50|512|100,231,0.00240625
