timesteps,episode_reward,episode_cost,episode_len,unsafe_rate,tps,latency,mask_ratio,lagrangian_lambda,constraint_violation
120,400.8212409783155,0.0266666666666666,120,0.0,11648.840613367578,27.06970752565185,0.2552291666666665,0.1,0.0
240,400.8212409783155,0.0266666666666666,120,0.0,11648.840613367578,27.06970752565185,0.2552291666666665,0.1,0.0
360,400.8212409783155,0.0266666666666666,120,0.0,11648.840613367578,27.06970752565185,0.2552291666666665,0.1,0.0
480,400.8212409783155,0.0266666666666666,120,0.0,11648.840613367578,27.06970752565185,0.2552291666666665,0.1,0.0
600,593.2231510132551,0.0266666666666666,120,0.0,11687.61017280209,23.655779798531388,0.2496458333333333,0.0964052083330229,0.0
720,411.75570672750473,0.0993939393939393,120,0.0,11691.40783608256,23.880933527587324,0.2423541666666666,0.0964052083330229,0.0
840,411.75570672750473,0.0993939393939393,120,0.0,11691.40783608256,23.880933527587324,0.2423541666666666,0.0964052083330229,0.0
960,411.75570672750473,0.0993939393939393,120,0.0,11691.40783608256,23.880933527587324,0.2423541666666666,0.0964052083330229,0.0
1080,451.9413909316063,0.0993939393939393,120,0.0,11774.326533202751,23.937935405658116,0.2428541666666666,0.0928207386352121,0.0
1200,633.3208836317062,0.0,120,0.0,11890.26148302624,23.946444226847536,0.2465833333333333,0.0928207386352121,0.0
1320,633.3208836317062,0.0,120,0.0,11890.26148302624,23.946444226847536,0.2465833333333333,0.0928207386352121,0.0
1440,633.3208836317062,0.0,120,0.0,11890.26148302624,23.946444226847536,0.2465833333333333,0.0928207386352121,0.0
1560,640.1195806264877,0.0,120,0.0,11844.171305848507,24.0077109214085,0.247875,0.0892207386352121,0.0
1680,631.1798557043076,0.0,120,0.0,11952.370727520083,26.882512210828015,0.2534375,0.0892207386352121,0.0
1800,631.1798557043076,0.0,120,0.0,11952.370727520083,26.882512210828015,0.2534375,0.0892207386352121,0.0
1920,631.1798557043076,0.0,120,0.0,11952.370727520083,26.882512210828015,0.2534375,0.0892207386352121,0.0
2040,631.1798557043076,0.0,120,0.0,11952.370727520083,26.882512210828015,0.2534375,0.0892207386352121,0.0
2160,590.792238265276,0.0,120,0.0,11866.079235279189,25.62596090430999,0.2585208333333334,0.0856207386352121,0.0
2280,583.2193023860455,0.0,120,0.0,11740.531191210192,25.752649748860147,0.2607916666666667,0.0856207386352121,0.0
2400,583.2193023860455,0.0,120,0.0,11740.531191210192,25.752649748860147,0.2607916666666667,0.0856207386352121,0.0
2520,583.2193023860455,0.0,120,0.0,11740.531191210192,25.752649748860147,0.2607916666666667,0.0856207386352121,0.0
2640,623.9763262271881,0.0,120,0.0,11548.512695621814,24.158882888829147,0.263125,0.0820207386352121,0.0
2760,653.8214271366596,0.0,120,0.0,11869.542195402211,23.585358285391735,0.2646666666666666,0.0820207386352121,0.0
2880,653.8214271366596,0.0,120,0.0,11869.542195402211,23.585358285391735,0.2646666666666666,0.0820207386352121,0.0
3000,653.8214271366596,0.0,120,0.0,11869.542195402211,23.585358285391735,0.2646666666666666,0.0820207386352121,0.0
3120,673.3092893064022,0.0,120,0.0,11771.094028258183,23.618966367496203,0.2699166666666666,0.0784207386352121,0.0
3240,698.5930306315422,0.0,120,0.0,11875.148574541452,23.3752909322719,0.2767083333333333,0.0784207386352121,0.0
3360,698.5930306315422,0.0,120,0.0,11875.148574541452,23.3752909322719,0.2767083333333333,0.0784207386352121,0.0
3480,698.5930306315422,0.0,120,0.0,11875.148574541452,23.3752909322719,0.2767083333333333,0.0784207386352121,0.0
3600,688.1564891934395,0.0,120,0.0,11924.218807454006,24.34001898473863,0.2746458333333333,0.0748207386352121,0.0
3720,739.6873054504395,0.0,120,0.0,12171.269351803525,22.93129623308073,0.2714375,0.0748207386352121,0.0
3840,739.6873054504395,0.0,120,0.0,12171.269351803525,22.93129623308073,0.2714375,0.0748207386352121,0.0
3960,739.6873054504395,0.0,120,0.0,12171.269351803525,22.93129623308073,0.2714375,0.0748207386352121,0.0
4080,739.6873054504395,0.0,120,0.0,12171.269351803525,22.93129623308073,0.2714375,0.0748207386352121,0.0
4200,723.1041235923767,0.0,120,0.0,11946.533182581854,23.25131407509451,0.2754583333333333,0.0712207386352121,0.0
4320,724.17623513937,0.0,120,0.0,11874.82689800165,23.434712574904193,0.272375,0.0712207386352121,0.0
4440,724.17623513937,0.0,120,0.0,11874.82689800165,23.434712574904193,0.272375,0.0712207386352121,0.0
4560,724.17623513937,0.0,120,0.0,11874.82689800165,23.434712574904193,0.272375,0.0712207386352121,0.0
4680,719.117927968502,0.0,120,0.0,11805.924961414285,23.450954089742023,0.2748541666666666,0.0676207386352121,0.0
