scene,template_idx,m,theta,TPS_mean,TPS_std,mean_latency_mean,mean_latency_std,unsafe_rate_mean,unsafe_rate_std,timeout_rate_mean,timeout_rate_std
churn_burst,0,5,0.45,14030.836825462051,435.4978593210881,19.59834382832075,0.5804772806494597,0.0,0.0,0.0,0.0
churn_burst,1,5,0.5,14204.756762591333,393.75059391475554,19.303977975497823,0.46635589871850347,0.0,0.0,0.0,0.0
churn_burst,2,5,0.55,14261.425436627454,291.35718127803307,19.211959649606293,0.38040810664942065,0.0,0.0,0.0,0.0
churn_burst,3,5,0.6,14381.997018443248,365.94083492059457,19.025329763459872,0.48434961007662575,0.0,0.0,0.0,0.0
churn_burst,4,7,0.45,12486.303272611527,551.6178435887914,22.332597061660376,1.0124758413247759,0.0,0.0,0.0,0.0
churn_burst,5,7,0.5,12682.705877402015,483.77737173269634,22.007299665457026,0.7344370225414919,0.0,0.0,0.0,0.0
churn_burst,6,7,0.55,12758.374614427732,464.04345356621957,21.770647927848145,0.7365068275922574,0.0,0.0,0.0,0.0
churn_burst,7,7,0.6,12906.221562905212,455.61343374219956,21.526306737656622,0.7340855288943662,0.0,0.0,0.0,0.0
churn_burst,8,9,0.45,11359.214934549693,612.3975283567372,24.886307175119683,1.285220350623068,0.0,0.0,0.0,0.0
churn_burst,9,9,0.5,11587.091958769211,523.8757230552123,24.43217363192397,0.9970406116733349,0.0,0.0,0.0,0.0
churn_burst,10,9,0.55,11633.677611920772,539.032310509849,24.26372293094352,1.0667924804280726,0.0,0.0,0.0,0.0
churn_burst,11,9,0.6,11723.734632371867,546.8034448003276,24.12809909126215,1.0725073737663746,0.0,0.0,0.0,0.0
high_rtt_burst,0,5,0.45,12192.507876490761,180.81494787695394,23.405332239939895,0.4597479208501116,0.0,0.0,0.0,0.0
high_rtt_burst,1,5,0.5,12394.439437213929,165.01269153397146,23.04454298177399,0.41050597901765845,0.0,0.0,0.0,0.0
high_rtt_burst,2,5,0.55,12600.120188995095,205.19653527833248,22.672949259358774,0.41817745242630394,0.0,0.0,0.0,0.0
high_rtt_burst,3,5,0.6,12711.836104491558,162.1997500996544,22.485353048270103,0.36118754645030365,0.0,0.0,0.0,0.0
high_rtt_burst,4,7,0.45,10914.827132320619,190.45037817278484,26.182246642010774,0.5493706038854456,0.0,0.0,0.0,0.0
high_rtt_burst,5,7,0.5,11064.442573177721,199.9274588423472,25.82401404892703,0.5127014564456146,0.0,0.0,0.0,0.0
high_rtt_burst,6,7,0.55,11248.891786190557,196.50327251495673,25.434734277840356,0.46359214829410256,0.0,0.0,0.0,0.0
high_rtt_burst,7,7,0.6,11329.603360689585,213.2387296814177,25.227440105978218,0.4931374260102675,0.0,0.0,0.0,0.0
high_rtt_burst,8,9,0.45,9940.461502425518,179.0820638492184,28.771804653595144,0.5160825567080642,0.0,0.0,0.0,0.0
high_rtt_burst,9,9,0.5,10093.968226300613,234.47561839129602,28.40126351984225,0.5832714482436915,0.0,0.0,0.0,0.0
high_rtt_burst,10,9,0.55,10167.749457582595,191.51638487883315,28.23143115563621,0.5116307587466518,0.0,0.0,0.0,0.0
high_rtt_burst,11,9,0.6,10197.568443995235,240.32059733670084,28.133129550697937,0.6250952942236285,0.0,0.0,0.0,0.0
load_shock,0,5,0.45,15115.217269511226,409.44490669400693,20.422182020654173,0.4005649281224384,0.0016666666666666666,0.003402069087198859,0.0,0.0
load_shock,1,5,0.5,15422.972777654244,393.89877112849854,19.9774615077392,0.4899628968159026,0.0,0.0,0.0,0.0
load_shock,2,5,0.55,15737.720335109469,379.32716078882714,19.610787591268643,0.46724154707405235,0.0,0.0,0.0,0.0
load_shock,3,5,0.6,15923.556385705893,413.47200450589503,19.40536312326576,0.48212024028943246,0.0,0.0,0.0,0.0
load_shock,4,7,0.45,13353.341077626821,357.831565359232,23.058728939000517,0.4805698099408258,0.0,0.0,0.0,0.0
load_shock,5,7,0.5,13625.783010875883,463.8627858382482,22.721445146330655,0.5989878548519346,0.0,0.0,0.0,0.0
load_shock,6,7,0.55,13986.472235231278,415.66407660256306,22.1739589869147,0.542425190919026,0.0,0.0,0.0,0.0
load_shock,7,7,0.6,14191.291656576452,413.8454095500897,21.914484588373384,0.5392036503725172,0.0,0.0,0.0,0.0
load_shock,8,9,0.45,12103.089527722264,430.06455504137057,25.618407570375602,0.6306419385416886,0.0,0.0,0.0,0.0
load_shock,9,9,0.5,12333.414989369496,439.2812361414453,25.332818090747715,0.5881716353027009,0.0,0.0,0.0,0.0
load_shock,10,9,0.55,12624.151044406553,465.75561539993953,24.801654975807768,0.6902813758038463,0.0,0.0,0.0,0.0
load_shock,11,9,0.6,12650.239831414738,435.957557737144,24.768198217235966,0.6435752502862225,0.0,0.0,0.0,0.0
malicious_burst,0,5,0.45,14142.281188125604,388.8801414857371,20.090811875562775,1.3858180142858998,0.005,0.010206207261596576,0.0,0.0
malicious_burst,1,5,0.5,14226.953105884182,325.437738145433,19.739154513900544,0.9534535109976878,0.003333333333333333,0.006804138174397716,0.0,0.0
malicious_burst,2,5,0.55,14576.38104224645,335.34772036132046,19.24009975041775,0.8267376519765154,0.003333333333333333,0.004166666666666667,0.0,0.0
malicious_burst,3,5,0.6,14730.467942676936,308.4838418201065,19.019762571788334,0.4638643101899244,0.003333333333333333,0.004166666666666667,0.0,0.0
malicious_burst,4,7,0.45,12548.825264079414,329.6123113689179,22.41160440079849,0.6963982176991433,0.0016666666666666666,0.003402069087198858,0.0,0.0
malicious_burst,5,7,0.5,12603.995887771871,313.5491595719982,22.246542920271377,0.6446804614215964,0.0016666666666666666,0.003402069087198858,0.0,0.0
malicious_burst,6,7,0.55,12915.396120978312,369.40412995001043,21.524534447845543,0.5428292845855917,0.0,0.0,0.0,0.0
malicious_burst,7,7,0.6,12971.893482016318,375.71204518124347,21.611364102979316,0.9035187782053222,0.0016666666666666666,0.003402069087198858,0.0,0.0
malicious_burst,8,9,0.45,11472.452737620904,324.8956963929685,24.80911840924472,0.9735965826747025,0.003333333333333333,0.006804138174397716,0.0,0.0
malicious_burst,9,9,0.5,11588.586396010325,353.0016887960407,24.582451742578055,0.9451618795827782,0.003333333333333333,0.006804138174397716,0.0,0.0
malicious_burst,10,9,0.55,11722.937195377683,380.4974666706458,24.29736614221323,0.9809710318047089,0.003333333333333333,0.004166666666666667,0.0,0.0
malicious_burst,11,9,0.6,11794.508652847973,360.81267453646063,24.19600363429923,0.94064463431363,0.003333333333333333,0.004166666666666667,0.0,0.0
