checkpoint_name,scene,eval_seed,template_idx,m,theta,steps,TPS,mean_latency,unsafe_rate,timeout_rate,policy_invalid_rate,structural_infeasible_rate,queue_peak,avg_selected_b,avg_selected_tau,episode_remap_count,requested_template_idx,requested_m,requested_theta,applied_template_idx,applied_m,applied_theta,was_remapped,remap_reason
low_model,load_shock,10000,0,5,0.45,120,14832.035537669346,20.547581513080072,0.0,0.0,0.0,0.0,154.0,436.8,59.666666666666664,0,0,5,0.45,0,5,0.45,False,
low_model,load_shock,10001,0,5,0.45,120,15409.290017613412,19.645370005445113,0.0,0.0,0.0,0.0,187.0,392.0,77.5,0,0,5,0.45,0,5,0.45,False,
low_model,load_shock,10002,0,5,0.45,120,14783.980760407147,20.69668809483829,0.0,0.0,0.0,0.0,209.0,436.26666666666665,59.666666666666664,0,0,5,0.45,0,5,0.45,False,
low_model,load_shock,10003,0,5,0.45,120,14787.026567780338,20.658729402315817,0.0,0.0,0.0,0.0,176.0,434.1333333333333,60.0,0,0,5,0.45,0,5,0.45,False,
low_model,load_shock,10004,0,5,0.45,120,15763.753464085885,20.562541087591566,0.008333333333333333,0.0,0.0,0.0,187.0,402.1333333333333,77.33333333333333,0,0,5,0.45,0,5,0.45,False,
low_model,load_shock,10000,1,5,0.5,120,15045.820030665465,20.38412246525986,0.0,0.0,0.0,0.0,154.0,438.4,59.666666666666664,0,1,5,0.5,1,5,0.5,False,
low_model,load_shock,10001,1,5,0.5,120,15852.099691021715,19.214799985558404,0.0,0.0,0.0,0.0,179.0,392.53333333333336,77.66666666666667,0,1,5,0.5,1,5,0.5,False,
low_model,load_shock,10002,1,5,0.5,120,15154.458041167449,20.198313420682236,0.0,0.0,0.0,0.0,209.0,436.26666666666665,59.666666666666664,0,1,5,0.5,1,5,0.5,False,
low_model,load_shock,10003,1,5,0.5,120,15129.490162405154,20.461792114271528,0.0,0.0,0.0,0.0,192.0,435.2,60.166666666666664,0,1,5,0.5,1,5,0.5,False,
low_model,load_shock,10004,1,5,0.5,120,15932.995963011444,19.628279552923967,0.0,0.0,0.0,0.0,176.0,438.4,60.0,0,1,5,0.5,1,5,0.5,False,
low_model,load_shock,10000,2,5,0.55,120,15413.65791839589,19.91424817974674,0.0,0.0,0.0,0.0,154.0,436.8,59.666666666666664,2,2,5,0.55,2,5,0.55,False,
low_model,load_shock,10001,2,5,0.55,120,16177.950358862989,18.851304688718738,0.0,0.0,0.0,0.0,187.0,393.06666666666666,77.5,0,2,5,0.55,2,5,0.55,False,
low_model,load_shock,10002,2,5,0.55,120,15415.78067851348,19.864980087348904,0.0,0.0,0.0,0.0,209.0,436.26666666666665,59.666666666666664,0,2,5,0.55,2,5,0.55,False,
low_model,load_shock,10003,2,5,0.55,120,15475.207590623368,20.095125447604865,0.0,0.0,0.0,0.0,192.0,435.2,60.166666666666664,0,2,5,0.55,2,5,0.55,False,
low_model,load_shock,10004,2,5,0.55,120,16206.005129151623,19.328279552923966,0.0,0.0,0.0,0.0,176.0,438.4,60.0,0,2,5,0.55,2,5,0.55,False,
low_model,load_shock,10000,3,5,0.6,120,15697.74170291526,19.61637130508299,0.0,0.0,0.0,0.0,197.0,437.8666666666667,59.5,20,3,5,0.6,3,5,0.6,False,
low_model,load_shock,10001,3,5,0.6,120,16420.037876093927,18.657017882545354,0.0,0.0,0.0,0.0,187.0,394.1333333333333,77.5,0,3,5,0.6,3,5,0.6,False,
low_model,load_shock,10002,3,5,0.6,120,15488.253575325427,19.79668809483829,0.0,0.0,0.0,0.0,209.0,436.26666666666665,59.666666666666664,4,3,5,0.6,3,5,0.6,False,
low_model,load_shock,10003,3,5,0.6,120,15605.826584856546,19.895125447604865,0.0,0.0,0.0,0.0,192.0,435.2,60.166666666666664,2,3,5,0.6,3,5,0.6,False,
low_model,load_shock,10004,3,5,0.6,120,16405.922189338296,19.0616128862573,0.0,0.0,0.0,0.0,176.0,438.4,60.0,1,3,5,0.6,2,5,0.55,True,legality_constraint
low_model,load_shock,10000,4,7,0.45,120,13170.958321897495,23.143387562462788,0.0,0.0,0.0,0.0,154.0,436.8,59.666666666666664,1,4,7,0.45,0,5,0.45,True,legality_constraint
low_model,load_shock,10001,4,7,0.45,120,13712.982963854278,22.44475160229898,0.0,0.0,0.0,0.0,187.0,393.06666666666666,77.5,0,4,7,0.45,4,7,0.45,False,
low_model,load_shock,10002,4,7,0.45,120,12981.562560186007,23.669147354097554,0.0,0.0,0.0,0.0,209.0,436.26666666666665,59.666666666666664,0,4,7,0.45,4,7,0.45,False,
low_model,load_shock,10003,4,7,0.45,120,13066.631669406193,23.435619363960026,0.0,0.0,0.0,0.0,179.0,433.06666666666666,60.166666666666664,0,4,7,0.45,4,7,0.45,False,
