scene,arrivals_mean,load_mean,rtt_mean,churn_mean,queue_size_mean,latency_mean,tps_mean,unsafe_rate_mean,timeout_rate_mean,structural_infeasible_rate_mean,eligible_size_mean,committee_size_mean,honest_ratio_mean
load_shock,442.06708333333336,58.09449166666666,28.10234906588013,0.11424382716049382,5809.449166666666,22.494827238125186,12043.320742940661,0.0,0.0,0.0008333333333333334,10.546666666666667,6.067916666666667,0.9992182539682539
high_rtt_burst,259.9841666666667,0.08220416666666666,44.75070966615081,0.11466049382716048,8.220416666666667,26.129848360819892,11248.859032282344,0.0,0.00125,0.0004166666666666667,10.706666666666667,6.317916666666667,0.9997182539682539
churn_burst,259.9841666666667,0.8572291666666666,28.12864814054906,0.11910493827160494,85.72291666666666,18.617718726174164,15088.309854471354,0.0,0.0,0.40208333333333335,6.595416666666667,4.212083333333333,0.9997182539682539
malicious_burst,259.67,0.20121666666666665,28.211615398919847,0.1158179012345679,20.121666666666666,21.83301002250331,13213.865291670909,0.0075,0.0,0.008333333333333333,9.823333333333334,6.121666666666667,0.9902341269841269
