param,mean_tps,mean_queue_size,mean_latency,mean_confirm_latency,mean_block_slack,mean_batch_fill_ratio,mean_eligible_size,mean_committee_size,mean_honest_ratio,mean_arrivals,mean_churn,mean_rtt,total_served,timeout_rate,unsafe_rate,structural_infeasible_rate,mean_tps_std,mean_queue_size_std,mean_latency_std,mean_confirm_latency_std,mean_block_slack_std,mean_batch_fill_ratio_std,mean_eligible_size_std,mean_committee_size_std,mean_honest_ratio_std,mean_arrivals_std,mean_churn_std,mean_rtt_std,total_served_std,timeout_rate_std,unsafe_rate_std,structural_infeasible_rate_std
5,15562.928764423885,18.281666666666666,17.9028723590604,17.9028723590604,0.0,0.7189771412037036,6.690833333333333,3.6336111111111102,1.0,260.2822222222223,0.11996913580246914,28.020103619523812,29040.066666666666,0.0,0.0,0.38000000000000006,210.49330403402402,4.867409974628304,0.20906808713163846,0.20906808713163846,0.0,0.012805494633037236,0.15723081052318513,0.0755090747550941,0.0,0.29546612577669834,0.004064358974037227,0.19338578407423687,576.9569943534195,0.0,0.0,0.012275766552213553
7,14668.27272969073,81.56361111111111,19.22112978654977,19.22112978654977,0.0,0.8335376880787037,6.884722222222222,4.676388888888888,0.9999603174603174,260.2822222222223,0.11996913580246914,28.020103619523812,21446.233333333334,0.0,0.0,0.38472222222222224,240.5165938743125,17.515509047011044,0.25625825544631775,0.25625825544631775,0.0,0.005301762600755518,0.1748458315625927,0.06993217613702034,6.873217490356509e-05,0.29546612577669834,0.004064358974037227,0.19338578407423687,2076.551117438078,0.0,0.0,0.011853660162973241
9,14258.253616452488,102.51361111111112,19.95336867255993,19.95336867255993,0.0,0.8640672019675925,6.988888888888888,5.286388888888889,0.999969135802469,260.2822222222223,0.11996913580246914,28.020103619523812,18932.233333333334,0.0,0.0,0.3855555555555556,276.6663879736189,16.852724811282453,0.33082233674758676,0.33082233674758676,0.0,0.003660655146790237,0.18280669308599465,0.005357583756107022,5.34583582583284e-05,0.29546612577669834,0.004064358974037227,0.19338578407423687,1993.5006705123865,0.0,0.0,0.011853660162973274
