timesteps,episode_reward,episode_cost,episode_len,unsafe_rate,tps,latency,mask_ratio,lagrangian_lambda,constraint_violation,episode_seed,eligible_size_mean,eligible_size_std,trajectory_fingerprint,episode_repeat_ratio,recent_unique_trajectory_count,rolling_reward_mean,rolling_cost_mean,rolling_unsafe_mean,rolling_lambda_mean
120,400.8212409783155,0.0266666666666666,120,0.0,11648.840613367578,27.06970752565185,0.2552291666666665,0.1,0.0,42,13.8,2.830194339616974,c0c1e46d0c11920772588cc555c466d3d088a01158bbe9fa98ac015a333b75ee,0.0,1,400.8212409783155,0.0266666666666666,0.0,0.1
240,-175.2657300978899,0.1015873015873016,120,0.0,11444.096369468316,30.52337649705092,0.2241666666666667,0.1,0.0,43,13.308333333333334,2.6857520155235592,96f3a109e5dbb4fce167d1df54a29d9565f6ab9854be47775101eac2cbc562f8,0.0,2,112.7777554402128,0.0641269841269841,0.0,0.1
360,288.14637672668323,0.0,120,0.0,11497.75513466099,27.40356035978222,0.245,0.1,0.0,44,13.091666666666669,2.7386001087335807,ff876bf75c77ebbe6703a6ad66353648513e74765ee1464d9375fa7b36a5ce52,0.0,3,171.23396253570294,0.0427513227513227,0.0,0.1
480,59.474916979670525,0.0363636363636363,120,0.0,12345.25913920018,26.40887135159399,0.1850833333333332,0.1,0.0,45,12.533333333333331,2.50643615961433,80a021b13c4978bf5cd1c7161f4954d0895666ff6a8fb3a39adfcc44b8d49afb,0.0,4,143.29420114669483,0.0411544011544011,0.0,0.1
600,362.9992011766881,0.0,120,0.0,11864.574468081766,30.81733832134495,0.1616666666666666,0.0964064303749241,0.0,46,12.55,2.7804376154363357,2ea2f4855cb2af13a54eee37f7eaaa713927f61cbef124b3fdd22e36498e1353,0.0,5,187.2352011526935,0.0329235209235209,0.0,0.0992812860749848
720,200.417509265244,0.0,120,0.0,11714.55214466396,33.38005106448294,0.2732083333333331,0.0964064303749241,0.0,47,14.091666666666669,2.506643949365144,7af63fc861c5b7a65abaa46852abec617dc5985bea0769ad3d5858e4862a5bd5,0.0,6,189.43225250478525,0.0274362674362674,0.0,0.098802143458308
840,407.0494583398104,0.0,120,0.0,11900.147531803816,27.03480606827316,0.2468125,0.0964064303749241,0.0,48,13.441666666666666,2.305051819133121,fd5d206ee87ce9f0bfc1ab21cbae9ee8185f2fc5bb7f68640b98226926c0bc6e,0.0,7,220.52042476693168,0.0235168006596578,0.0,0.0984598987321103
960,214.76952485367656,0.0615384615384615,120,0.0,11316.052774957065,33.038630738564855,0.3337916666666665,0.0964064303749241,0.0,49,15.3,2.70370116691915,6809fbc2fd0c398041ba3923a4056c1efdf6193c83f4d6fb252aa814b821a09c,0.0,8,219.8015622777748,0.0282695082695082,0.0,0.098203215187462
1080,588.3212472200394,0.1142857142857143,120,0.0,11306.256393711616,29.420556417330896,0.2788541666666667,0.0928132985069649,0.0,50,14.125,2.3648907656239264,8568c6eedcc416d920755142034e9e8bf687a699335cab39bf3d8f992812dc0a,0.0,9,260.7481939380264,0.0378268644935311,0.0,0.0976043355562957
1200,-124.22301223874092,0.0,120,0.0,10605.230296276282,33.74213649864804,0.1697916666666665,0.0928132985069649,0.0,51,12.175,2.6002003127964337,ffa4d80c9904bbe370856895969d015101545f2447155ae45983f5cca50c4320,0.0,10,222.2510733203497,0.034044178044178,0.0,0.0971252318513626
1320,644.8328948020935,0.0533333333333333,120,0.0,10929.606675800836,27.67179551780533,0.2673749999999998,0.0928132985069649,0.0,52,13.941666666666666,3.217907791649035,f8cc4316e223c6bb2cdaee7dea02b0fa3101826ca9bf3cbec1055cd6410acb82,0.0,11,246.6522387027275,0.0367108447108447,0.0,0.0964065617020591
1440,669.4366960525513,0.0363636363636363,120,0.0,11436.583501828982,25.244529266425776,0.2557291666666665,0.0928132985069649,0.0,53,13.925,2.6336365859143616,a65a5c770cdd35b212ed618d363711513a8bc95dca0432d76cb9b74941943879,0.0,12,331.1224813177716,0.0301884781884781,0.0,0.0956878915527556
