episode,stage_index,stage_name,scenario_name,episode_reward,episode_cost,unsafe_rate,timeout_rate,structural_infeasible_rate,committee_mean_trust_mean,eligible_size_mean,tps,latency,lagrangian_lambda,epsilon
0,1,stage1,high_rtt_burst,260.05108841569694,9.12,0.0,0.6333333333333333,0.0,0.9360596095522244,14.9,1648.354268918281,120.11734871188243,0.0,0.99905
1,1,stage1,normal,437.7099990971803,5.880000000000004,0.0,0.4083333333333333,0.0,0.9491903737187386,15.066666666666666,2465.9927881623444,70.75660305980027,0.0,0.9981
2,1,stage1,churn_burst,205.04953327306487,42.115103898048375,0.25833333333333336,0.35833333333333334,0.13333333333333333,0.7177175000309944,11.241666666666667,1829.588874669702,70.91389610706379,0.0,0.99715
3,1,stage1,load_shock,-90.29378229032841,6.480000000000005,0.0,0.45,0.0,0.9520586460828782,17.766666666666666,1335.8686372689963,112.29503423658495,0.0,0.9962
4,1,stage1,normal,430.4497000405266,6.480000000000005,0.0,0.45,0.0,0.9495102047920227,16.8,2280.110455084039,75.71669036092906,0.0,0.99525
5,1,stage1,malicious_burst,451.04004181963404,6.840000000000005,0.0,0.475,0.0,0.9505521203080813,15.583333333333334,2410.646424355552,72.11374107543699,0.0,0.9943
6,1,stage1,high_rtt_burst,291.4257380315187,9.719999999999995,0.0,0.675,0.0,0.9397315626343091,14.4,1699.1702220851084,115.29546443179846,0.0,0.99335
7,1,stage1,high_rtt_burst,179.49426063854833,9.479999999999997,0.0,0.6583333333333333,0.0,0.935569609204928,18.541666666666668,1379.3765379334038,148.73680932018664,0.0,0.9924
8,1,stage1,normal,452.53071727753223,6.720000000000005,0.0,0.4666666666666667,0.0,0.951750960946083,16.391666666666666,2349.6602038686665,74.08470083750726,0.0,0.99145
9,1,stage1,normal,454.6237206674468,6.720000000000005,0.0,0.4666666666666667,0.0,0.9500209892789523,15.308333333333334,2429.1454049737395,72.5754164638497,0.0,0.9905
10,1,stage1,normal,467.49723881837275,5.520000000000004,0.0,0.38333333333333336,0.0,0.953125246365865,14.791666666666666,2475.6923800817804,72.12351928164706,0.0,0.98955
11,1,stage1,churn_burst,158.41838895418644,75.3254988884926,0.5,0.4,0.25833333333333336,0.6029231776793798,10.116666666666667,1583.1919974694126,61.59553507734106,0.0,0.9886
12,1,stage1,load_shock,-81.04488050174155,6.000000000000004,0.0,0.4166666666666667,0.0,0.951405756175518,15.491666666666667,1418.894021254406,107.3603348061218,0.0,0.98765
13,1,stage1,high_rtt_burst,236.37266815206732,9.839999999999995,0.0,0.6833333333333333,0.0,0.9353942970434824,14.875,1586.8262748483771,120.3968959195366,0.0,0.9867
14,1,stage1,normal,438.3798951273831,7.2000000000000055,0.0,0.5,0.0,0.9492985144257545,15.866666666666667,2441.4993891511253,72.99663866336446,0.0,0.98575
15,1,stage1,normal,352.6693239280668,8.160000000000005,0.0,0.5666666666666667,0.0,0.9410783102114996,18.616666666666667,1928.4927077505918,86.18340723951887,0.0,0.9848
16,1,stage1,load_shock,-72.68590615855464,5.040000000000004,0.0,0.35,0.0,0.9525460451841354,16.825,1421.2486227519075,107.66068091604951,0.0,0.98385
17,1,stage1,normal,181.47130383749354,48.25999999999997,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.645627516011397,9.35,1735.936644944243,53.656960972598284,0.0,0.9829
18,1,stage1,high_rtt_burst,255.32163417593173,8.88,0.0,0.6166666666666667,0.0,0.9363495841622352,14.966666666666667,1671.2185361031482,117.19041930392132,0.0,0.98195
19,1,stage1,load_shock,-81.79070344561431,6.240000000000005,0.0,0.43333333333333335,0.0,0.9517453521490097,16.283333333333335,1402.302438953416,109.25530776997567,0.0,0.981
20,1,stage1,high_rtt_burst,225.23869227765084,9.479999999999997,0.0,0.6583333333333333,0.0,0.9321206534902254,14.8,1536.7972429481094,127.45749975491047,0.0,0.98005
21,1,stage1,normal,452.8918676751195,5.400000000000004,0.0,0.375,0.0,0.9505360717574756,14.925,2589.0905432250584,68.47156262193968,0.0,0.9791
22,1,stage1,malicious_burst,310.304311091864,27.729999999999993,0.15833333333333333,0.4083333333333333,0.15833333333333333,0.7932480668028196,12.933333333333334,1961.5865433717345,67.80818226250156,0.0,0.97815
23,1,stage1,churn_burst,-124.71132895825804,70.71405290246008,0.48333333333333334,0.2,0.43333333333333335,0.4911448036630948,8.45,1208.6650202097076,54.1000802624181,0.0,0.9772
24,1,stage1,high_rtt_burst,273.6936456938241,9.239999999999998,0.0,0.6416666666666667,0.0,0.9380071699619293,12.675,1664.1809312421435,118.31774519395506,0.0,0.97625
25,1,stage1,normal,386.9594280427797,7.920000000000006,0.0,0.55,0.0,0.9420360272129377,17.358333333333334,2177.651155165408,78.74222579515141,0.0,0.9753000000000001
26,1,stage1,normal,454.0167975673689,5.880000000000004,0.0,0.4083333333333333,0.0,0.9494497925043106,15.616666666666667,2464.348595602299,70.33716936482217,0.0,0.97435
27,1,stage1,normal,457.2510289075983,6.480000000000005,0.0,0.45,0.0,0.9505680228273073,15.491666666666667,2565.548465373039,68.31900741660549,0.0,0.9734
28,1,stage1,normal,433.8835241055435,6.960000000000005,0.0,0.48333333333333334,0.0,0.9472800239920616,15.25,2475.021853927255,71.2069960995203,0.0,0.97245
29,1,stage1,load_shock,-100.40545834742925,7.680000000000006,0.0,0.5333333333333333,0.0,0.9519256874918938,16.85,1333.9793710564875,112.46322486684444,0.0,0.9715
30,1,stage1,load_shock,-75.42660420894872,6.600000000000005,0.0,0.4583333333333333,0.0,0.9512906566262245,16.9,1402.5972544947908,109.69111286014221,0.0,0.97055
31,1,stage1,malicious_burst,478.12022918090247,4.200000000000003,0.0,0.2916666666666667,0.0,0.954392479856809,13.033333333333333,2342.3398720097707,74.16511127511937,0.0,0.9696
32,1,stage1,normal,466.68434862788655,6.1200000000000045,0.0,0.425,0.0,0.951229353249073,14.616666666666667,2452.658156642711,71.91912719595857,0.0,0.96865
33,1,stage1,normal,482.79055361982853,5.640000000000004,0.0,0.39166666666666666,0.0,0.9585950985550881,14.016666666666667,2026.3714168994645,85.67665666220488,0.0,0.9677
34,1,stage1,normal,439.3199259325451,7.2000000000000055,0.0,0.5,0.0,0.9479325483242671,15.916666666666666,2364.554106755166,72.8263137563029,0.0,0.96675
35,1,stage1,normal,413.460696158423,6.600000000000005,0.0,0.4583333333333333,0.0,0.9505244717001915,17.641666666666666,2129.706108672142,80.83085795346504,0.0,0.9658
36,1,stage1,normal,435.3456923772622,6.960000000000005,0.0,0.48333333333333334,0.0,0.9502199952801068,16.975,2259.4897123147093,75.8050647944227,0.0,0.96485
37,1,stage1,normal,473.44995472909716,5.280000000000004,0.0,0.36666666666666664,0.0,0.9539556344350179,15.3,2203.3684752330323,78.94464453605441,0.0,0.9639
38,1,stage1,normal,460.79237306841577,5.160000000000004,0.0,0.35833333333333334,0.0,0.9478206028540929,14.233333333333333,2537.2496138065167,68.83662446290245,0.0,0.96295
39,1,stage1,load_shock,-85.12825618884449,5.760000000000004,0.0,0.4,0.0,0.9520598351955414,13.558333333333334,1488.244906867716,103.42276022066501,0.0,0.962
40,1,stage1,normal,400.2382601329905,6.600000000000005,0.0,0.4583333333333333,0.0,0.9450416301687559,16.625,2266.87318081205,76.98870084781598,0.0,0.96105
41,1,stage1,high_rtt_burst,270.9043812770103,9.0,0.0,0.625,0.0,0.935895865658919,13.758333333333333,1668.865354202294,122.10891086401406,0.0,0.9601
42,1,stage1,load_shock,-105.4148167985123,6.1200000000000045,0.0,0.425,0.0,0.9530723616480827,16.966666666666665,1331.8896290487348,111.10226691032446,0.0,0.95915
43,1,stage1,normal,457.93157974717604,5.880000000000004,0.0,0.4083333333333333,0.0,0.9524008323748906,16.216666666666665,2402.873194517025,75.3341729329161,0.0,0.9582
44,1,stage1,high_rtt_burst,234.95676680996195,9.479999999999997,0.0,0.6583333333333333,0.0,0.9330019250512123,14.583333333333334,1576.1625355230926,125.75026750143272,0.0,0.95725
45,1,stage1,high_rtt_burst,232.50225734240985,9.719999999999995,0.0,0.675,0.0,0.9383977587024371,15.6,1568.0229853946182,130.29467121961895,0.0,0.9563
46,1,stage1,normal,430.22060792572813,6.240000000000005,0.0,0.43333333333333335,0.0,0.9495692277948061,16.916666666666668,2227.339161601527,74.99689540069079,0.0,0.95535
47,1,stage1,normal,440.8749796880009,6.600000000000005,0.0,0.4583333333333333,0.0,0.9513255675633748,16.775,2271.2070735517023,75.55714113178449,0.0,0.9544
48,1,stage1,load_shock,-59.41692556223109,4.560000000000003,0.0,0.31666666666666665,0.0,0.9516904329260191,14.225,1515.946122620649,101.88928036762097,0.0,0.95345
49,1,stage1,normal,375.09505858117546,7.680000000000006,0.0,0.5333333333333333,0.0,0.94349082360665,17.891666666666666,2008.3757266635814,83.46881356485261,0.0,0.9525
50,1,stage1,normal,448.91214646138735,5.280000000000004,0.0,0.36666666666666664,0.0,0.9496710658073425,14.925,2500.3194491417485,70.04928796905998,0.0,0.95155
51,1,stage1,normal,423.2598073713226,6.000000000000004,0.0,0.4166666666666667,0.0,0.9495813106497129,17.766666666666666,2194.5255823350903,77.99146321958985,0.0,0.9506
52,1,stage1,high_rtt_burst,201.32201647959846,10.199999999999992,0.0,0.7083333333333334,0.0,0.9370742509762446,17.991666666666667,1387.9303614464256,139.60108602360594,0.0,0.94965
53,1,stage1,load_shock,-56.99842114803589,5.280000000000004,0.0,0.36666666666666664,0.0,0.9512920593221982,14.216666666666667,1525.050850162274,101.1200043067944,0.0,0.9487
54,1,stage1,load_shock,-55.80505596007648,5.640000000000004,0.0,0.39166666666666666,0.0,0.9501896118124326,12.816666666666666,1528.4571805510743,100.91329852503614,0.0,0.94775
55,1,stage1,high_rtt_burst,158.26547511335713,9.719999999999995,0.0,0.675,0.0,0.9333151246110598,17.991666666666667,1339.3589137174401,148.74365335503643,0.0,0.9468
56,1,stage1,normal,431.81729910356455,5.280000000000004,0.0,0.36666666666666664,0.0,0.9480874598026275,15.45,2346.621631127657,72.97031325969871,0.0,0.94585
57,1,stage1,load_shock,-116.43382963566631,7.080000000000005,0.0,0.49166666666666664,0.0,0.9529696409900983,18.858333333333334,1245.1322277171676,117.75678607483697,0.0,0.9449
58,1,stage1,normal,424.1863535823197,5.880000000000004,0.0,0.4083333333333333,0.0,0.9484444320201874,16.875,2256.772121115204,76.04019869515359,0.0,0.94395
59,1,stage1,normal,373.08216582719723,6.960000000000005,0.0,0.48333333333333334,0.0,0.9430195828278859,17.65,2088.5434191261916,82.19894643984921,0.0,0.9430000000000001
60,1,stage1,load_shock,-77.04163196425425,7.560000000000006,0.0,0.525,0.0,0.9514859989285469,15.716666666666667,1410.5435103381983,108.51696996705725,0.0,0.94205
61,1,stage1,normal,477.45389645874104,5.520000000000004,0.0,0.38333333333333336,0.0,0.9564590285221736,14.183333333333334,2157.6138752574384,81.10208564805792,0.0,0.9411
62,1,stage1,load_shock,-77.95187152867818,6.600000000000005,0.0,0.4583333333333333,0.0,0.9511479586362839,16.2,1383.7165955838398,109.06584784891896,0.0,0.94015
63,1,stage1,high_rtt_burst,209.96156884583417,9.719999999999995,0.0,0.675,0.0,0.9375602434078852,15.875,1469.995008355979,128.63538125161008,0.0,0.9392
64,1,stage1,load_shock,-70.96800959833612,6.190000000000003,0.008333333333333333,0.35,0.008333333333333333,0.9387105489770572,15.183333333333334,1438.7061501310595,105.66728108124568,0.0,0.93825
65,1,stage1,load_shock,-51.18973083562338,5.760000000000004,0.0,0.4,0.0,0.9522347986698151,14.825,1587.2429697402965,101.29135356195573,0.0,0.9373
66,1,stage1,load_shock,-90.46070681620876,6.240000000000005,0.0,0.43333333333333335,0.0,0.9517061899105708,17.383333333333333,1329.5057382260843,110.90488582154892,0.0,0.93635
67,1,stage1,normal,414.81342864067307,6.960000000000005,0.0,0.48333333333333334,0.0,0.9430377359191576,15.758333333333333,2370.350770426563,74.66027986644004,0.0,0.9354
68,1,stage1,normal,405.9141007975825,7.440000000000006,0.0,0.5166666666666667,0.0,0.9464004894097646,18.066666666666666,2130.259408357807,78.77050551075372,0.0,0.93445
69,1,stage1,normal,390.79731231634327,10.050000000000006,0.025,0.4583333333333333,0.025,0.916989708940188,16.491666666666667,2166.211230587103,75.71120926146996,0.0,0.9335
70,1,stage1,normal,432.47854934168754,7.320000000000006,0.0,0.5083333333333333,0.0,0.9481438259283702,16.958333333333332,2322.5625903451846,74.19284509694849,0.0,0.93255
71,1,stage1,normal,444.1775971090531,6.480000000000005,0.0,0.45,0.0,0.9485767886042595,15.141666666666667,2494.376924732114,71.21646106653932,0.0,0.9316
72,1,stage1,churn_burst,-7.99197912868723,62.289796830415675,0.4166666666666667,0.25833333333333336,0.35833333333333334,0.557139195005099,9.641666666666667,1266.0673680294778,59.70863379523668,0.0,0.93065
73,1,stage1,normal,418.9210206361219,6.960000000000005,0.0,0.48333333333333334,0.0,0.9461298947532971,16.058333333333334,2349.721336225702,73.42164581081046,0.0,0.9297
74,1,stage1,normal,425.6560643449628,6.360000000000005,0.0,0.44166666666666665,0.0,0.947233418126901,15.675,2382.109582802529,72.99164354662707,0.0,0.92875
75,1,stage1,normal,429.7056345523584,5.640000000000004,0.0,0.39166666666666666,0.0,0.9481384520729382,15.95,2365.860747175817,73.97427577258136,0.0,0.9278
76,1,stage1,normal,397.4146075294863,6.840000000000005,0.0,0.475,0.0,0.9440414821108182,17.575,2180.677962749537,78.70060865527961,0.0,0.92685
77,1,stage1,load_shock,-78.85180897868324,6.360000000000005,0.0,0.44166666666666665,0.0,0.9530775840083758,17.375,1378.6050924056558,109.69588856220336,0.0,0.9259
78,1,stage1,load_shock,-77.72096581550208,6.000000000000004,0.0,0.4166666666666667,0.0,0.9537425408760707,17.383333333333333,1383.4723689838163,108.9532644342762,0.0,0.92495
79,1,stage1,high_rtt_burst,199.95335358230696,10.199999999999992,0.0,0.7083333333333334,0.0,0.9367607379953067,17.208333333333332,1435.2203518046333,137.39280066653126,0.0,0.924
80,1,stage1,load_shock,-107.41942227503128,6.1200000000000045,0.0,0.425,0.0,0.9527081574002901,17.808333333333334,1307.3629802835562,113.05521226893913,0.0,0.92305
81,1,stage1,normal,408.3951140224929,6.1200000000000045,0.0,0.425,0.0,0.945280946791172,15.516666666666667,2390.0697308590347,75.1879723925516,0.0,0.9221
82,1,stage1,high_rtt_burst,203.28367781526106,9.359999999999998,0.0,0.65,0.0,0.9362083837389946,17.35,1475.1170501054346,144.12027203151303,0.0,0.92115
83,1,stage1,normal,441.1417023036952,6.720000000000005,0.0,0.4666666666666667,0.0,0.9483484362562498,15.7,2470.7725051369207,71.53022438749203,0.0,0.9202
84,1,stage1,normal,483.4025511600351,5.400000000000004,0.0,0.375,0.0,0.95405183583498,13.775,2399.704908403578,71.3735818419722,0.0,0.91925
85,1,stage1,normal,454.7634766746468,6.720000000000005,0.0,0.4666666666666667,0.0,0.9504315982262294,15.608333333333333,2490.6416296279353,70.81447215767274,0.0,0.9183
86,1,stage1,load_shock,-87.82130199974301,7.320000000000006,0.0,0.5083333333333333,0.0,0.9523751020431519,17.616666666666667,1315.4544571837055,111.163355693828,0.0,0.91735
87,1,stage1,normal,409.54089173170354,5.760000000000004,0.0,0.4,0.0,0.9420009632905324,14.2,2470.7774752500973,72.08586984807131,0.0,0.9164
88,1,stage1,normal,466.8812044521451,6.600000000000005,0.0,0.4583333333333333,0.0,0.9529801021019618,16.033333333333335,2563.1151704046247,68.08374056904209,0.0,0.91545
