action,count,ratio
0.185185|0.45|256|40,34056,0.35475
0.185185|0.45|384|80,5207,0.054239583333333334
0.333333|0.50|512|100,474,0.0049375
0.259259|0.60|448|40,313,0.0032604166666666667
0.333333|0.45|512|100,279,0.00290625
0.259259|0.45|384|100,273,0.00284375
0.185185|0.50|384|40,268,0.0027916666666666667
0.185185|0.45|256|60,268,0.0027916666666666667
0.333333|0.50|384|80,266,0.0027708333333333335
0.333333|0.50|448|100,266,0.0027708333333333335
0.333333|0.55|384|80,266,0.0027708333333333335
0.185185|0.55|512|100,265,0.0027604166666666667
0.333333|0.55|384|100,265,0.0027604166666666667
0.333333|0.45|256|100,265,0.0027604166666666667
0.259259|0.45|448|100,264,0.00275
0.333333|0.45|448|100,263,0.0027395833333333335
0.333333|0.45|384|40,263,0.0027395833333333335
0.259259|0.45|512|40,262,0.0027291666666666666
0.185185|0.45|320|100,262,0.0027291666666666666
0.333333|0.45|320|60,261,0.00271875
0.185185|0.50|320|100,260,0.0027083333333333334
0.333333|0.60|384|40,260,0.0027083333333333334
0.259259|0.55|384|80,260,0.0027083333333333334
0.259259|0.45|320|40,259,0.0026979166666666666
0.185185|0.60|384|80,259,0.0026979166666666666
0.259259|0.45|448|60,257,0.0026770833333333334
0.259259|0.55|384|60,257,0.0026770833333333334
0.185185|0.45|256|80,257,0.0026770833333333334
0.333333|0.45|256|40,256,0.0026666666666666666
0.259259|0.45|320|60,256,0.0026666666666666666
0.333333|0.50|320|60,256,0.0026666666666666666
0.259259|0.45|384|60,255,0.00265625
0.259259|0.55|256|80,255,0.00265625
0.185185|0.50|448|40,255,0.00265625
0.185185|0.55|256|80,254,0.0026458333333333334
0.185185|0.60|512|100,254,0.0026458333333333334
0.185185|0.50|256|60,254,0.0026458333333333334
0.259259|0.50|512|80,254,0.0026458333333333334
0.333333|0.50|320|80,254,0.0026458333333333334
0.259259|0.45|320|100,254,0.0026458333333333334
0.259259|0.60|256|60,254,0.0026458333333333334
0.333333|0.45|320|40,254,0.0026458333333333334
0.259259|0.55|448|60,253,0.0026354166666666665
0.333333|0.60|448|100,253,0.0026354166666666665
0.333333|0.45|320|80,253,0.0026354166666666665
0.185185|0.45|512|100,253,0.0026354166666666665
0.333333|0.45|448|80,252,0.002625
0.259259|0.45|256|60,252,0.002625
0.259259|0.50|320|60,252,0.002625
0.259259|0.45|256|100,252,0.002625
0.333333|0.45|320|100,251,0.0026145833333333333
0.333333|0.50|320|100,251,0.0026145833333333333
0.185185|0.50|384|80,251,0.0026145833333333333
0.185185|0.45|256|100,251,0.0026145833333333333
0.185185|0.45|512|60,251,0.0026145833333333333
0.185185|0.45|384|60,250,0.0026041666666666665
