episode,stage_index,stage_name,scenario_name,episode_reward,episode_cost,unsafe_rate,timeout_rate,structural_infeasible_rate,committee_mean_trust_mean,eligible_size_mean,tps,latency,lagrangian_lambda,epsilon
0,1,stage1,high_rtt_burst,246.22431656125633,9.0,0.0,0.625,0.0,0.9351084187626839,14.891666666666667,1636.2965601806764,125.65811974196268,0.1,0.99905
1,1,stage1,normal,438.7332868760034,6.1200000000000045,0.0,0.425,0.0,0.949212513367335,15.075,2497.655504849541,69.90908467963565,0.1,0.9981
2,1,stage1,churn_burst,236.63822028007934,41.59818302273747,0.25833333333333336,0.325,0.13333333333333333,0.7199984838565191,11.258333333333333,1906.0974531940633,68.48020080018925,0.1,0.99715
3,1,stage1,load_shock,-85.97151875634775,6.360000000000005,0.0,0.44166666666666665,0.0,0.9519894207517307,17.775,1373.2588426461152,109.95854648304767,0.1,0.9962
4,1,stage1,normal,433.7532292761361,6.840000000000005,0.0,0.475,0.0,0.94998094389836,16.825,2288.917086259979,74.78408825216515,0.1,0.99525
5,1,stage1,malicious_burst,437.68469209236395,6.1200000000000045,0.0,0.425,0.0,0.9486965641379357,15.591666666666667,2388.5964279128198,73.79914386059467,0.1,0.9943
6,1,stage1,high_rtt_burst,305.6194206071508,8.640000000000002,0.0,0.6,0.0,0.9415499796470006,14.408333333333333,1691.574224905726,114.53375228369177,0.1,0.99335
7,1,stage1,high_rtt_burst,198.7105705396876,10.079999999999993,0.0,0.7,0.0,0.9373060256242752,18.558333333333334,1449.4738833369702,146.05377823446815,0.1,0.9924
8,1,stage1,normal,471.43045720025367,6.840000000000005,0.0,0.475,0.0,0.9546878268321355,16.425,2252.4047422588346,77.1948098714581,0.1,0.99145
9,1,stage1,normal,448.23090499113687,6.960000000000005,0.0,0.48333333333333334,0.0,0.9487872367103894,15.325,2435.252839815378,71.83297466817,0.1,0.9905
10,1,stage1,normal,480.5119149053956,5.040000000000004,0.0,0.35,0.0,0.9553626885016759,14.791666666666666,2389.652350720002,74.60367536792344,0.1,0.98955
11,1,stage1,churn_burst,157.33908783834906,73.76350833177568,0.5,0.2916666666666667,0.25833333333333336,0.6029785762230555,10.091666666666667,1574.749516182098,62.37182252474348,0.1,0.9886
12,1,stage1,load_shock,-79.3858305901045,6.000000000000004,0.0,0.4166666666666667,0.0,0.9514363005757331,15.491666666666667,1437.7242928638293,106.55872248148218,0.1,0.98765
13,1,stage1,high_rtt_burst,251.74953046878358,9.239999999999998,0.0,0.6416666666666667,0.0,0.9367757007479668,14.891666666666667,1625.5502714483057,120.13409615530672,0.1,0.9867
14,1,stage1,normal,442.76383015453075,7.320000000000006,0.0,0.5083333333333333,0.0,0.9496308555205663,15.875,2467.8606590424242,72.27859463497181,0.1,0.98575
15,1,stage1,normal,338.69515188450663,8.160000000000005,0.0,0.5666666666666667,0.0,0.9390422652165095,18.6,1902.2808498682664,87.62856866314083,0.1,0.9848
16,1,stage1,load_shock,-78.51030206547034,6.000000000000004,0.0,0.4166666666666667,0.0,0.9525022735198339,16.833333333333332,1388.9054518609214,108.91647803342902,0.1,0.98385
17,1,stage1,normal,156.0399120304324,48.79109831690785,0.31666666666666665,0.35,0.31666666666666665,0.6419912983973821,9.35,1662.6235529964383,55.190983944804906,0.1,0.9829
