epoch,A_e,Q_e,S_e,L_queue_e,L_batch_e,L_cons_e,L_bar_e,RTT_e,chi_e,h_e,U_e,Z_e,m_e,b_e,tau_e,theta_e,eligible_size,executed_committee_size,pollute_rate,unsafe,reward_terms,cost_terms,reward,cost,timeout_failure,leader_unstable,tps,mask_ratio,queue_next,invalid_action,committee_members,dim_weights,context_vector,trust_scores,malicious_true,malicious_pred,episode,step
0,258,0.0,256.0,0.0,0.0,21.06421511367531,21.06421511367531,29.500223218423884,0.07407407407407407,1.0,0,1,11,256,40,0.6,16,11,0.27434842249657065,0,"{'throughput': 8.878521735832352, 'latency': -1.6851372090940249, 'queue': -0.05, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",7.143384526738328,0.0,0,0,12153.313029631932,0.52,2.0,0,"[25, 19, 4, 24, 7, 14, 11, 3, 21, 23, 0]","{'svc': 0.24852421879768372, 'con': 0.25113365054130554, 'rec': 0.25518250465393066, 'stab': 0.2451595962047577}","[258.0, 0.0, 0.0, 29.50022315979004, 0.07407407462596893, 27.0]","[0.6791611909866333, 0.47705546021461487, 0.46829962730407715, 0.6489799618721008, 0.6670438647270203, 0.439603328704834, 0.22927743196487427, 0.6751008629798889, 0.6661410331726074, 0.4565751254558563, 0.6765727400779724, 0.6751465201377869, 0.649395763874054, 0.4281575679779053, 0.6582676768302917, 0.44541773200035095, 0.21739639341831207, 0.6758686304092407, 0.43456295132637024, 0.68016517162323, 0.43586447834968567, 0.6769410967826843, 0.42434921860694885, 0.661241888999939, 0.6771997809410095, 0.6633245348930359, 0.6594710946083069]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,0
1,263,2.0,256.0,0.000625,0.0,17.123480445723217,17.124105445723217,16.364440991916894,0.07407407407407407,1.0,0,1,11,256,40,0.6,15,11,0.28532235939643347,0,"{'throughput': 8.878521735832352, 'latency': -1.3699284356578574, 'queue': -0.225, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",7.283593300174495,0.0,0,0,14949.686032442447,0.68,9.0,0,"[17, 24, 4, 23, 12, 19, 3, 25, 26, 14, 10]","{'svc': 0.2085869312286377, 'con': 0.26007941365242004, 'rec': 0.26394757628440857, 'stab': 0.26738613843917847}","[263.0, 2.0, 21.0642147064209, 16.36444091796875, 0.07407407462596893, 16.0]","[0.4143373370170593, 0.46935582160949707, 0.4714466631412506, 0.6980135440826416, 0.7263801097869873, 0.4566391408443451, 0.14900600910186768, 0.7276896834373474, 0.7244786024093628, 0.4522620737552643, 0.7251314520835876, 0.7258752584457397, 0.7159414887428284, 0.45462659001350403, 0.7154924273490906, 0.4661824703216553, 0.4491311013698578, 0.7253646850585938, 0.4528270661830902, 0.7355090975761414, 0.4672524034976959, 0.732915997505188, 0.43815818428993225, 0.7397139072418213, 0.7328473329544067, 0.7151307463645935, 0.7105686664581299]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1
2,256,9.0,256.0,0.0028125,0.0,26.776529585660597,26.7793420856606,34.961024544794576,0.1111111111111111,1.0,0,1,11,256,40,0.6,13,11,0.27983539094650206,0,"{'throughput': 8.878521735832352, 'latency': -2.142347366852848, 'queue': -0.225, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",6.511174368979504,0.0,0,0,9559.607520644768,0.68,9.0,0,"[21, 14, 17, 11, 26, 25, 7, 3, 12, 4, 19]","{'svc': 0.1982579380273819, 'con': 0.2717478275299072, 'rec': 0.28076431155204773, 'stab': 0.24922993779182434}","[256.0, 9.0, 17.12410545349121, 34.96102523803711, 0.1111111119389534, 15.0]","[0.5177284479141235, 0.43676823377609253, 0.46780359745025635, 0.725412130355835, 0.7491503357887268, 0.452249675989151, 0.12244205921888351, 0.7492370009422302, 0.743087112903595, 0.46225714683532715, 0.5421385765075684, 0.7409214377403259, 0.733523428440094, 0.4470432698726654, 0.7370347380638123, 0.46732282638549805, 0.5595684051513672, 0.734097957611084, 0.4538334310054779, 0.7490209341049194, 0.4504607021808624, 0.7534283995628357, 0.4390442371368408, 0.7505373358726501, 0.5187022089958191, 0.74009108543396, 0.7277913689613342]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,2
3,283,9.0,256.0,0.0028125,0.0,16.266079527138523,16.268892027138524,27.086684843548163,0.037037037037037035,1.0,0,1,11,256,40,0.6,14,11,0.2784636488340192,0,"{'throughput': 8.878521735832352, 'latency': -1.3015113621710819, 'queue': -0.9, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",6.677010373661271,0.0,0,0,15735.552216645137,0.68,36.0,0,"[16, 4, 12, 26, 19, 21, 7, 14, 25, 3, 17]","{'svc': 0.20370402932167053, 'con': 0.2669627070426941, 'rec': 0.26147082448005676, 'stab': 0.267862468957901}","[283.0, 9.0, 26.779342651367188, 27.086685180664062, 0.03703703731298447, 13.0]","[0.5739905834197998, 0.3696012794971466, 0.4123844504356384, 0.7351258397102356, 0.7520821690559387, 0.373067706823349, 0.0820045992732048, 0.7462668418884277, 0.740824282169342, 0.3827303946018219, 0.4193209409713745, 0.7502345442771912, 0.7398793697357178, 0.3756029009819031, 0.7413151860237122, 0.3858429789543152, 0.604073166847229, 0.737704873085022, 0.3856058120727539, 0.752622663974762, 0.3781287372112274, 0.7527918815612793, 0.3505399227142334, 0.7519398331642151, 0.4009261131286621, 0.7394142150878906, 0.730675458908081]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,3
4,274,36.0,256.0,0.01125,0.0,17.2466985374191,17.2579485374191,16.775167964236513,0.07407407407407407,1.0,0,1,11,256,40,0.6,14,11,0.27983539094650206,0,"{'throughput': 8.878521735832352, 'latency': -1.3806358829935281, 'queue': -1.35, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",6.147885852838824,0.0,0,0,14833.744546458382,0.6,54.0,0,"[21, 25, 4, 3, 8, 16, 12, 23, 26, 14, 0]","{'svc': 0.20470988750457764, 'con': 0.2910177707672119, 'rec': 0.26263874769210815, 'stab': 0.2416336089372635}","[274.0, 36.0, 16.268892288208008, 16.77516746520996, 0.07407407462596893, 14.0]","[0.6128144264221191, 0.31597670912742615, 0.343386709690094, 0.7457646727561951, 0.7512277364730835, 0.30166342854499817, 0.20994612574577332, 0.7538820505142212, 0.751791775226593, 0.31672483682632446, 0.3400401175022125, 0.7528551816940308, 0.7464321255683899, 0.32883909344673157, 0.7479593753814697, 0.32802948355674744, 0.6447297930717468, 0.7431488037109375, 0.3179647922515869, 0.6197869181632996, 0.3088015019893646, 0.7581335306167603, 0.28698480129241943, 0.759529173374176, 0.3237273097038269, 0.7542362809181213, 0.7496126294136047]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,4
5,274,54.0,256.0,0.016875,0.0,20.32842343319046,20.345298433190457,27.047584283474364,0.07407407407407407,1.0,0,1,11,256,40,0.6,14,11,0.2674897119341564,0,"{'throughput': 8.878521735832352, 'latency': -1.6276238746552367, 'queue': -1.8, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",5.450897861177116,0.0,0,0,12582.759640545379,0.6,72.0,0,"[12, 23, 14, 26, 21, 8, 11, 17, 4, 16, 25]","{'svc': 0.21695096790790558, 'con': 0.26685523986816406, 'rec': 0.26939669251441956, 'stab': 0.246797114610672}","[274.0, 54.0, 17.25794792175293, 27.047584533691406, 0.07407407462596893, 14.0]","[0.638105571269989, 0.27465784549713135, 0.29132598638534546, 0.7452771663665771, 0.7563114166259766, 0.25723445415496826, 0.3032850921154022, 0.7575798034667969, 0.7528515458106995, 0.2662561535835266, 0.27346527576446533, 0.7597817778587341, 0.7502145767211914, 0.27328306436538696, 0.7474228143692017, 0.28137385845184326, 0.669737696647644, 0.7501898407936096, 0.2719042897224426, 0.5243011116981506, 0.26506510376930237, 0.7651389241218567, 0.2459433525800705, 0.7567129135131836, 0.4061419665813446, 0.7560272216796875, 0.7492856979370117]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,5
6,261,72.0,256.0,0.0225,0.0,21.875198278842042,21.897698278842043,32.20350043564632,0.07407407407407407,1.0,0,1,11,256,40,0.6,14,11,0.28532235939643347,0,"{'throughput': 8.878521735832352, 'latency': -1.7518158623073634, 'queue': -1.925, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",5.201705873524989,0.0,0,0,11690.72642887549,0.68,77.0,0,"[12, 3, 14, 17, 25, 4, 23, 11, 7, 0, 26]","{'svc': 0.20872555673122406, 'con': 0.26537832617759705, 'rec': 0.27122336626052856, 'stab': 0.25467273592948914}","[261.0, 72.0, 20.345298767089844, 32.20349884033203, 0.07407407462596893, 14.0]","[0.6635897755622864, 0.25447437167167664, 0.26554378867149353, 0.7478652596473694, 0.759194552898407, 0.22726255655288696, 0.376131534576416, 0.7680806517601013, 0.754892110824585, 0.24498695135116577, 0.3553146719932556, 0.7608242630958557, 0.756061851978302, 0.24584752321243286, 0.750472366809845, 0.25145700573921204, 0.6873221397399902, 0.7550181746482849, 0.2482474148273468, 0.5637621283531189, 0.24159684777259827, 0.7648155093193054, 0.22940902411937714, 0.7637360692024231, 0.4631057381629944, 0.7528854608535767, 0.7559797763824463]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,6
7,234,77.0,128.0,0.048125,0.0,25.027643070884046,25.075768070884045,18.156291717761626,0.2222222222222222,1.0,0,1,7,128,20,0.4,14,7,0.27983539094650206,0,"{'throughput': 7.775699846978675, 'latency': -2.0060614456707238, 'queue': -4.575, 'smooth': -0.96, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-5.765361598692049,0.0,0,0,5104.529585621078,0.4,183.0,1,"[17, 25, 21, 11, 26, 3, 4]","{'svc': 0.21479159593582153, 'con': 0.27839604020118713, 'rec': 0.25212737917900085, 'stab': 0.2546849250793457}","[234.0, 77.0, 21.89769744873047, 18.156291961669922, 0.2222222238779068, 14.0]","[0.5858760476112366, 0.22553347051143646, 0.2299237847328186, 0.7547799348831177, 0.7609946131706238, 0.19928689301013947, 0.4301343262195587, 0.6638414859771729, 0.6651639342308044, 0.21539419889450073, 0.41876596212387085, 0.7608190178871155, 0.7575556635856628, 0.22634673118591309, 0.6517243981361389, 0.22663506865501404, 0.6993718147277832, 0.7636631727218628, 0.20945444703102112, 0.5907525420188904, 0.21222227811813354, 0.7622344493865967, 0.2073000967502594, 0.7633280158042908, 0.5049263834953308, 0.7566671371459961, 0.7570161819458008]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,7
8,260,183.0,256.0,0.0571875,0.0,23.553544855279547,23.61073235527955,24.21774211019107,0.1111111111111111,1.0,0,1,11,256,40,0.6,12,11,0.2825788751714678,0,"{'throughput': 8.878521735832352, 'latency': -1.8888585884223639, 'queue': -4.675, 'smooth': -0.96, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",1.3546631474099888,0.0,0,0,10842.52687074132,0.2025,187.0,0,"[25, 4, 16, 21, 26, 12, 17, 3, 23, 14, 11]","{'svc': 0.20238865911960602, 'con': 0.2848113775253296, 'rec': 0.2618975043296814, 'stab': 0.2509025037288666}","[260.0, 183.0, 25.075767517089844, 24.217742919921875, 0.1111111119389534, 14.0]","[0.5281451344490051, 0.27052515745162964, 0.2659660577774048, 0.7685326337814331, 0.7706637382507324, 0.2358262538909912, 0.48894253373146057, 0.5920422077178955, 0.6032347083091736, 0.1921180635690689, 0.48093971610069275, 0.7761125564575195, 0.771852433681488, 0.21495084464550018, 0.679358720779419, 0.25150302052497864, 0.717292845249176, 0.7738656997680664, 0.24736160039901733, 0.6269487738609314, 0.24380427598953247, 0.7743782997131348, 0.24460242688655853, 0.7719846367835999, 0.5490701794624329, 0.7673466205596924, 0.7700047492980957]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,8
9,274,187.0,256.0,0.0584375,0.0,24.119784597582225,24.178222097582225,39.68545483144693,0.07407407407407407,1.0,0,1,11,256,40,0.6,11,11,0.27434842249657065,0,"{'throughput': 8.878521735832352, 'latency': -1.934257767806578, 'queue': -5.125, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",1.8192639680257745,0.0,0,0,10588.040715599163,0.44,205.0,0,"[25, 16, 3, 21, 12, 19, 14, 23, 26, 11, 17]","{'svc': 0.21691307425498962, 'con': 0.2623884677886963, 'rec': 0.2593405246734619, 'stab': 0.26135796308517456}","[274.0, 187.0, 23.610733032226562, 39.685455322265625, 0.07407407462596893, 12.0]","[0.44874268770217896, 0.2501172125339508, 0.2413596361875534, 0.7572529911994934, 0.6813427805900574, 0.2064727395772934, 0.5091148614883423, 0.5160880088806152, 0.52735835313797, 0.16831091046333313, 0.49683260917663574, 0.7628093957901001, 0.7615304589271545, 0.19313517212867737, 0.679302990436554, 0.2344619333744049, 0.7139012217521667, 0.7641243934631348, 0.22572115063667297, 0.6297222971916199, 0.2291385382413864, 0.7611578702926636, 0.2269342839717865, 0.7583001852035522, 0.4825008809566498, 0.7544588446617126, 0.7596906423568726]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,9
