m,action_idx,eligible_size,committee_size,unsafe_rate,latency,queue_size,timeout_rate,tps,structural_infeasible
5,37,10.809166666666666,5.0,0.0,19.625060298936454,0.0,0.0,13934.05036977943,0.0
7,117,10.838333333333333,6.956666666666668,0.0,22.231430367061577,0.17916666666666667,0.0,12404.539204234548,0.0
9,197,10.955833333333333,8.426666666666668,0.0,24.132096087600623,2.3033333333333337,0.0,11559.080257947062,0.0
