seed,config_exists,stage2_exists,stage3_exists,has_m5_in_stage2,has_m5_in_stage3,m5_ratio_stage2,m5_ratio_stage3,high_dim_confirmed,evidence_files
formal_final_seed42,True,True,True,True,True,0.05016447368421053,0.05078125,True,/Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed42/config_snapshot.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed42/stage2_high_train/train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed42/stage3_high_refine/round_01_high_train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed42/stage3_high_refine/round_02_high_train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed42/stage3_high_refine/round_03_high_train_audit.json
formal_final_seed43,True,True,True,True,True,0.04399671052631579,0.044921875,True,/Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed43/config_snapshot.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed43/stage2_high_train/train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed43/stage3_high_refine/round_01_high_train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed43/stage3_high_refine/round_02_high_train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed43/stage3_high_refine/round_03_high_train_audit.json
formal_final_seed44,True,True,True,True,True,0.05098684210526316,0.048828125,True,/Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed44/config_snapshot.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed44/stage2_high_train/train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed44/stage3_high_refine/round_01_high_train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed44/stage3_high_refine/round_02_high_train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed44/stage3_high_refine/round_03_high_train_audit.json
formal_final_seed45,True,True,True,True,True,0.046052631578947366,0.052734375,True,/Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed45/config_snapshot.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed45/stage2_high_train/train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed45/stage3_high_refine/round_01_high_train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed45/stage3_high_refine/round_02_high_train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed45/stage3_high_refine/round_03_high_train_audit.json
formal_final_seed46,True,True,True,True,True,0.05098684210526316,0.052734375,True,/Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed46/config_snapshot.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed46/stage2_high_train/train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed46/stage3_high_refine/round_01_high_train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed46/stage3_high_refine/round_02_high_train_audit.json; /Users/qiutao/研/毕设/毕设/blockchainSim/blockchain_gov_sim/outputs/formal_multiseed/hierarchical/formal_final_seed46/stage3_high_refine/round_03_high_train_audit.json
