epoch,A_e,Q_e,S_e,L_queue_e,L_batch_e,L_cons_e,L_bar_e,RTT_e,chi_e,h_e,U_e,Z_e,m_e,b_e,tau_e,theta_e,eligible_size,executed_committee_size,pollute_rate,unsafe,reward_terms,cost_terms,reward,cost,timeout_failure,leader_unstable,tps,mask_ratio,queue_next,invalid_action,committee_members,dim_weights,context_vector,trust_scores,malicious_true,malicious_pred,episode,step
0,258,0.0,128.0,0.0,0.0,18.06045215071235,18.06045215071235,29.500223218423884,0.07407407407407407,1.0,0,1,7,128,20,0.4,25,7,0.27434842249657065,0,"{'throughput': 7.775699846978675, 'latency': -1.444836172056988, 'queue': -3.25, 'smooth': -0.96, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-3.8791363250783126,0.0,0,0,7087.308719175747,0.52,130.0,1,"[19, 0, 24, 21, 10, 17, 11]","{'svc': 0.24852421879768372, 'con': 0.25113365054130554, 'rec': 0.25518250465393066, 'stab': 0.2451595962047577}","[258.0, 0.0, 0.0, 29.50022315979004, 0.07407407462596893, 27.0]","[0.6791611909866333, 0.47705546021461487, 0.46829962730407715, 0.6489799618721008, 0.6670438647270203, 0.439603328704834, 0.22927743196487427, 0.6751008629798889, 0.6661410331726074, 0.4565751254558563, 0.6765727400779724, 0.6751465201377869, 0.649395763874054, 0.4281575679779053, 0.6582676768302917, 0.44541773200035095, 0.21739639341831207, 0.6758686304092407, 0.43456295132637024, 0.68016517162323, 0.43586447834968567, 0.6769410967826843, 0.42434921860694885, 0.661241888999939, 0.6771997809410095, 0.6633245348930359, 0.6594710946083069]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,0
1,263,130.0,128.0,0.08125,0.0,14.119717482760253,14.200967482760253,16.364440991916894,0.07407407407407407,1.0,0,1,7,128,20,0.4,25,7,0.27709190672153633,0,"{'throughput': 7.775699846978675, 'latency': -1.1360773986208204, 'queue': -6.625, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-5.985377551642145,0.0,0,0,9013.470395970553,0.2025,265.0,1,"[23, 19, 24, 21, 7, 4, 11]","{'svc': 0.20507162809371948, 'con': 0.2692249119281769, 'rec': 0.26669052243232727, 'stab': 0.25901293754577637}","[263.0, 130.0, 18.06045150756836, 16.36444091796875, 0.07407407462596893, 25.0]","[0.41475987434387207, 0.4628807604312897, 0.46483170986175537, 0.6930757164955139, 0.7216155529022217, 0.44946005940437317, 0.14899052679538727, 0.7227463126182556, 0.7197494506835938, 0.44606634974479675, 0.7202351093292236, 0.7206141352653503, 0.7108588814735413, 0.4488706588745117, 0.7107553482055664, 0.46049925684928894, 0.44489583373069763, 0.7204970121383667, 0.4466851055622101, 0.730461061000824, 0.4608028829097748, 0.7276257276535034, 0.43277889490127563, 0.7350032925605774, 0.7283853888511658, 0.7102763652801514, 0.7056241035461426]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",0,1
2,256,265.0,128.0,0.165625,0.0,22.29128514121615,22.45691014121615,34.961024544794576,0.1111111111111111,1.0,0,1,7,128,20,0.4,24,7,0.27983539094650206,0,"{'throughput': 7.775699846978675, 'latency': -1.796552811297292, 'queue': -9.825000000000001, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-9.845852964318617,0.0,0,0,5699.804612259458,0.2025,393.0,1,"[21, 7, 4, 23, 19, 8, 11]","{'svc': 0.20145739614963531, 'con': 0.27098548412323, 'rec': 0.2830533981323242, 'stab': 0.24450361728668213}","[256.0, 265.0, 14.200967788696289, 34.96102523803711, 0.1111111119389534, 25.0]","[0.5103839039802551, 0.4210178852081299, 0.45155271887779236, 0.7139884829521179, 0.737373948097229, 0.4361729919910431, 0.1231771931052208, 0.7385931611061096, 0.732293426990509, 0.44753575325012207, 0.5386993288993835, 0.729789674282074, 0.7222660183906555, 0.4324806034564972, 0.7264760732650757, 0.45272716879844666, 0.5498266816139221, 0.7231927514076233, 0.43888145685195923, 0.7334845662117004, 0.43518486618995667, 0.7422313690185547, 0.42410406470298767, 0.7370449304580688, 0.5146714448928833, 0.7232987284660339, 0.7165374159812927]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,2
3,283,393.0,128.0,0.245625,0.0,14.74379804565704,14.989423045657041,27.086684843548163,0.037037037037037035,1.0,0,1,7,128,20,0.4,15,7,0.2784636488340192,0,"{'throughput': 7.775699846978675, 'latency': -1.1991538436525633, 'queue': -13.700000000000001, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-13.12345399667389,0.0,0,0,8539.354690978987,0.2025,548.0,1,"[21, 23, 4, 11, 7, 19, 8]","{'svc': 0.19997285306453705, 'con': 0.27454230189323425, 'rec': 0.26665908098220825, 'stab': 0.25882571935653687}","[283.0, 393.0, 22.456911087036133, 27.086685180664062, 0.03703703731298447, 24.0]","[0.5593826770782471, 0.3538004457950592, 0.3960072994232178, 0.7172926664352417, 0.7340606451034546, 0.3568217158317566, 0.08235733956098557, 0.7292189598083496, 0.723797619342804, 0.3694044053554535, 0.41731876134872437, 0.7294018268585205, 0.7187999486923218, 0.36071935296058655, 0.7192299962043762, 0.3720019459724426, 0.584678590297699, 0.7194629907608032, 0.370374858379364, 0.7249420881271362, 0.36308786273002625, 0.7354377508163452, 0.3404099643230438, 0.7345806360244751, 0.39875462651252747, 0.7164828777313232, 0.7121212482452393]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,3
4,274,548.0,128.0,0.3425,0.0,14.242935574456139,14.585435574456138,16.775167964236513,0.07407407407407407,1.0,0,1,7,128,20,0.4,14,7,0.27983539094650206,0,"{'throughput': 7.775699846978675, 'latency': -1.166834845956491, 'queue': -17.35, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-16.741134998977817,0.0,0,0,8775.877782091733,0.2025,694.0,1,"[21, 23, 7, 11, 8, 4, 25]","{'svc': 0.21249718964099884, 'con': 0.27099138498306274, 'rec': 0.25968030095100403, 'stab': 0.2568310797214508}","[274.0, 548.0, 14.989422798156738, 16.77516746520996, 0.07407407462596893, 15.0]","[0.5908353328704834, 0.29986244440078735, 0.32735636830329895, 0.7182665467262268, 0.7273954749107361, 0.2859479486942291, 0.20162451267242432, 0.7305421233177185, 0.7281456589698792, 0.3029699921607971, 0.33795782923698425, 0.7288913130760193, 0.7159679532051086, 0.31343507766723633, 0.7092371582984924, 0.3147139549255371, 0.613323450088501, 0.7168456315994263, 0.3018813729286194, 0.6064740419387817, 0.2935411334037781, 0.7339223623275757, 0.2774662375450134, 0.7307586669921875, 0.3226802945137024, 0.7268580198287964, 0.7250330448150635]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,4
5,274,694.0,128.0,0.43375,0.0,17.324660470227492,17.758410470227492,27.047584283474364,0.07407407407407407,1.0,0,1,7,128,20,0.4,14,7,0.2674897119341564,0,"{'throughput': 7.775699846978675, 'latency': -1.4206728376181994, 'queue': -21.0, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-20.644972990639523,0.0,0,0,7207.8523139554545,0.2025,840.0,1,"[21, 11, 7, 4, 8, 25, 26]","{'svc': 0.21557947993278503, 'con': 0.2633343040943146, 'rec': 0.26450473070144653, 'stab': 0.25658145546913147}","[274.0, 694.0, 14.58543586730957, 27.047584533691406, 0.07407407462596893, 14.0]","[0.6037729978561401, 0.2639586925506592, 0.2806307375431061, 0.7108823657035828, 0.7244145274162292, 0.24727319180965424, 0.2862342894077301, 0.7284311056137085, 0.7228903770446777, 0.25751355290412903, 0.27312660217285156, 0.7299911379814148, 0.7096664309501648, 0.26349762082099915, 0.7002154588699341, 0.2722507119178772, 0.6307765245437622, 0.710545003414154, 0.26159989833831787, 0.5140941143035889, 0.25594624876976013, 0.7353402972221375, 0.2487208992242813, 0.7187320590019226, 0.39500391483306885, 0.7193824052810669, 0.7187982797622681]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,5
6,261,840.0,128.0,0.525,0.0,18.871435315879083,19.39643531587908,32.20350043564632,0.07407407407407407,1.0,0,1,7,128,20,0.4,16,7,0.28532235939643347,0,"{'throughput': 7.775699846978675, 'latency': -1.5517148252703266, 'queue': -24.325000000000003, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-24.101014978291655,0.0,0,0,6599.150715864351,0.2025,973.0,1,"[7, 21, 11, 8, 23, 26, 4]","{'svc': 0.20297011733055115, 'con': 0.25520506501197815, 'rec': 0.27089840173721313, 'stab': 0.27092644572257996}","[261.0, 840.0, 17.758411407470703, 32.20349884033203, 0.07407407462596893, 14.0]","[0.6238937973976135, 0.24586917459964752, 0.2581064701080322, 0.7041377425193787, 0.7127817273139954, 0.2201175093650818, 0.3508748412132263, 0.7263961434364319, 0.7195790410041809, 0.23910850286483765, 0.343887597322464, 0.7244930267333984, 0.7075480818748474, 0.23922091722488403, 0.6961732506752014, 0.24491041898727417, 0.6346874833106995, 0.699882447719574, 0.24004071950912476, 0.5452038049697876, 0.23453807830810547, 0.724544107913971, 0.22382843494415283, 0.7173740267753601, 0.44326305389404297, 0.7038227915763855, 0.7139871716499329]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,6
7,234,973.0,128.0,0.608125,0.0,25.027643070884046,25.635768070884048,18.156291717761626,0.2222222222222222,1.0,0,1,7,128,20,0.4,12,7,0.27983539094650206,0,"{'throughput': 7.775699846978675, 'latency': -2.0508614456707237, 'queue': -26.975, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-27.25016159869205,0.0,0,0,4993.023795740165,0.135,1079.0,1,"[21, 11, 4, 26, 3, 23, 17]","{'svc': 0.20117908716201782, 'con': 0.2785431742668152, 'rec': 0.2543925344944, 'stab': 0.26588520407676697}","[234.0, 973.0, 19.396434783935547, 18.156291961669922, 0.2222222238779068, 16.0]","[0.5563956499099731, 0.22023747861385345, 0.22575193643569946, 0.7027310132980347, 0.7065135836601257, 0.19584421813488007, 0.3964165151119232, 0.6338585615158081, 0.6355584263801575, 0.21339723467826843, 0.3965543508529663, 0.7150431871414185, 0.6991929411888123, 0.22253510355949402, 0.6134141087532043, 0.2233179807662964, 0.6340702772140503, 0.6994185447692871, 0.2059561312198639, 0.5582801103591919, 0.20922213792800903, 0.715582013130188, 0.2036241888999939, 0.701492965221405, 0.4746469259262085, 0.6960801482200623, 0.7033399939537048]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,7
8,260,1079.0,128.0,0.6743750000000001,0.0,19.0683004108351,19.7426754108351,24.21774211019107,0.1111111111111111,1.0,0,1,7,128,20,0.4,15,7,0.2825788751714678,0,"{'throughput': 7.775699846978675, 'latency': -1.579414032866808, 'queue': -30.275000000000002, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-30.078714185888135,0.0,0,0,6483.417132500265,0.18,1211.0,1,"[11, 21, 26, 12, 3, 4, 17]","{'svc': 0.2026265412569046, 'con': 0.2595166265964508, 'rec': 0.2561594247817993, 'stab': 0.2816973626613617}","[260.0, 1079.0, 25.63576889038086, 24.217742919921875, 0.1111111119389534, 12.0]","[0.5036729574203491, 0.2433798909187317, 0.23831845819950104, 0.7078530192375183, 0.7045648694038391, 0.208830326795578, 0.44766518473625183, 0.5682824850082397, 0.5790926814079285, 0.18527761101722717, 0.4506070911884308, 0.7234407067298889, 0.7094203233718872, 0.2057895064353943, 0.6339417695999146, 0.22987286746501923, 0.6467106342315674, 0.7032355070114136, 0.22324441373348236, 0.5816717147827148, 0.2220659703016281, 0.712440550327301, 0.22362957894802094, 0.7020887732505798, 0.5076154470443726, 0.6945209503173828, 0.7100944519042969]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,8
9,274,1211.0,128.0,0.756875,0.0,21.116021634619266,21.872896634619266,39.68545483144693,0.07407407407407407,1.0,0,1,7,128,20,0.4,13,7,0.27434842249657065,0,"{'throughput': 7.775699846978675, 'latency': -1.7498317307695412, 'queue': -33.925000000000004, 'smooth': -0.0, 'invalid_action': -6.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",-33.89913188379087,0.0,0,0,5851.991262895119,0.135,1357.0,1,"[11, 12, 21, 26, 3, 17, 23]","{'svc': 0.2100832611322403, 'con': 0.2595718204975128, 'rec': 0.2572808563709259, 'stab': 0.2730640769004822}","[274.0, 1211.0, 19.74267578125, 39.685455322265625, 0.07407407462596893, 15.0]","[0.4264111816883087, 0.22422483563423157, 0.2151011973619461, 0.6850554943084717, 0.6348243951797485, 0.18203382194042206, 0.46179232001304626, 0.4942607879638672, 0.5051895380020142, 0.16475166380405426, 0.45944592356681824, 0.6971015930175781, 0.6885903477668762, 0.1875905990600586, 0.6189084649085999, 0.2130061686038971, 0.6309651732444763, 0.681662380695343, 0.2035759687423706, 0.5734770894050598, 0.20975308120250702, 0.6867003440856934, 0.20511853694915771, 0.6753864884376526, 0.4484485387802124, 0.6714035272598267, 0.685462474822998]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,9
