timesteps,episode_reward,episode_cost,episode_len,unsafe_rate,tps,latency,lagrangian_lambda,constraint_violation
60,124.39240957796574,0.0,60,0.0,13347.124591859601,21.23240442239165,0.1,0.0
120,316.7481106338091,0.0,60,0.0,13259.973310822637,21.751694761101234,0.0964,0.0
180,329.60913118720055,0.08888888888888893,60,0.0,13081.952566987628,21.766632868161302,0.0928277777784504,0.0
240,362.045498251915,0.0977777777777778,60,0.0,13104.05409871635,21.907130278110706,0.08925833333590999,0.0
300,362.1628632619977,0.0,60,0.0,13175.689728931951,21.63924479861571,0.08565833333590998,0.0
360,318.42021733522415,0.04444444444444447,60,0.0,12762.44432619958,21.645536393277503,0.08207222222513519,0.0
420,330.8712121248245,0.0,60,0.0,13319.018028780958,21.590437893097018,0.07847222222513518,0.0
480,338.8821209669113,0.0,60,0.0,13058.542135768295,22.15498830606613,0.07487222222513518,0.0
