timesteps,lagrangian_lambda,episode_cost,constraint_violation,unsafe_rate,rolling_cost_mean,rolling_unsafe_mean,rolling_lambda_mean,episode_reward,rolling_reward_mean,seed,stage
13,0.1,0.0,0.0,0.0,0.0,0.0,0.1,82.95829582214355,82.95829582214355,42,stage2_high_train
26,0.1,0.0098571428571428,0.0,0.0,0.0049285714285714,0.0,0.1,76.91407203674316,79.93618392944336,42,stage2_high_train
39,0.1,0.0,0.0,0.0,0.0032857142857142,0.0,0.1,87.7339563369751,82.5354413986206,42,stage2_high_train
53,0.1,0.0,0.0,0.0,0.0024642857142857,0.0,0.1,94.9277172088623,85.63351035118103,42,stage2_high_train
59,0.1,0.0,0.0,0.0,0.0019714285714285,0.0,0.1,48.5497522354126,78.21675872802734,42,stage2_high_train
71,0.1,0.0,0.0,0.0,0.0016428571428571,0.0,0.1,92.49088335037231,80.59577949841817,42,stage2_high_train
84,0.1,0.0,0.0,0.0,0.0014081632653061,0.0,0.1,91.80267524719238,82.19676460538592,42,stage2_high_train
98,0.1,0.0,0.0,0.0,0.0012321428571428,0.0,0.1,98.63016510009766,84.25093966722488,42,stage2_high_train
111,0.1,0.0,0.0,0.0,0.001095238095238,0.0,0.1,91.25918531417848,85.0296336279975,42,stage2_high_train
127,0.1,0.0,0.0,0.0,0.0009857142857142,0.0,0.1,106.06955480575562,87.13362574577332,42,stage2_high_train
141,0.0980015401786368,0.0,0.0,0.0,0.0009857142857142,0.0,0.0998001540178636,107.08960580825806,89.54675674438477,42,stage2_high_train
148,0.0980015401786368,0.0,0.0,0.0,0.0,0.0,0.0996003080357273,55.683825969696045,87.42373213768005,42,stage2_high_train
158,0.0980015401786368,0.0003333333333333,0.0,0.0,3.333333333333355e-05,0.0,0.099400462053591,70.33194828033447,85.68353133201599,42,stage2_high_train
171,0.0980015401786368,0.0,0.0,0.0,3.333333333333355e-05,0.0,0.0992006160714547,77.69243812561035,83.9600034236908,42,stage2_high_train
184,0.0980015401786368,0.0,0.0,0.0,3.333333333333355e-05,0.0,0.0990007700893184,93.50073623657228,88.45510182380676,42,stage2_high_train
200,0.0980015401786368,0.0,0.0,0.0,3.333333333333355e-05,0.0,0.098800924107182,92.89683151245116,88.49569664001464,42,stage2_high_train
210,0.0980015401786368,0.0,0.0,0.0,3.333333333333355e-05,0.0,0.0986010781250457,85.8295841217041,87.89838752746581,42,stage2_high_train
226,0.0980015401786368,0.0,0.0,0.0,3.333333333333355e-05,0.0,0.0984012321429094,126.87350654602052,90.7227216720581,42,stage2_high_train
239,0.0980015401786368,0.0,0.0,0.0,3.333333333333355e-05,0.0,0.0982013861607731,78.54799127578735,89.45160226821899,42,stage2_high_train
253,0.0980015401786368,0.0,0.0,0.0,3.333333333333355e-05,0.0,0.0980015401786368,101.18695306777954,88.96334209442139,42,stage2_high_train
267,0.0960015922619695,0.0,0.0,0.0,3.333333333333355e-05,0.0,0.09780154538697,106.88459873199464,88.94284138679504,42,stage2_high_train
281,0.0960015922619695,0.0098571428571428,0.0,0.0,0.0010190476190476,0.0,0.0976015505953033,107.19327020645142,94.09378581047058,42,stage2_high_train
295,0.0960015922619695,0.0,0.0,0.0,0.0009857142857142,0.0,0.0974015558036366,97.19183015823364,96.7797739982605,42,stage2_high_train
302,0.0960015922619695,0.0,0.0,0.0,0.0009857142857142,0.0,0.0972015610119699,54.816372871398926,94.49216747283936,42,stage2_high_train
317,0.0960015922619695,0.0,0.0,0.0,0.0009857142857142,0.0,0.0970015662203031,112.56599426269533,96.39869327545166,42,stage2_high_train
328,0.0960015922619695,0.0197142857142857,0.0,0.0,0.0029571428571428,0.0,0.0968015714286364,85.55232286453247,95.6642424106598,42,stage2_high_train
341,0.0960015922619695,0.0,0.0,0.0,0.0029571428571428,0.0,0.0966015766369697,91.67382669448853,96.24866666793824,42,stage2_high_train
356,0.0960015922619695,0.0,0.0,0.0,0.0029571428571428,0.0,0.096401581845303,101.1494207382202,93.6762580871582,42,stage2_high_train
370,0.0960015922619695,0.0,0.0,0.0,0.0029571428571428,0.0,0.0962015870536363,99.85391426086426,95.8068503856659,42,stage2_high_train
384,0.0960015922619695,0.0,0.0,0.0,0.0029571428571428,0.0,0.0960015922619695,99.67607164382936,95.65576224327089,42,stage2_high_train
395,0.0940062127977344,0.0,0.0,0.0,0.0029571428571428,0.0,0.095802054315546,84.99357175827026,93.46665954589844,42,stage2_high_train
401,0.0940062127977344,0.0,0.0,0.0,0.0019714285714285,0.0,0.0956025163691225,49.31329870223999,87.67866239547729,42,stage2_high_train
409,0.0940062127977344,0.0,0.0,0.0,0.0019714285714285,0.0,0.095402978422699,63.13986587524414,84.27346596717834,42,stage2_high_train
425,0.0940062127977344,0.0,0.0,0.0,0.0019714285714285,0.0,0.0952034404762755,111.6882472038269,89.96065340042114,42,stage2_high_train
437,0.0940062127977344,0.0,0.0,0.0,0.0019714285714285,0.0,0.095003902529852,85.0746078491211,87.21151475906372,42,stage2_high_train
443,0.0940062127977344,0.0,0.0,0.0,0.0,0.0,0.0948043645834284,50.233065128326416,83.67958898544312,42,stage2_high_train
457,0.0940062127977344,0.0,0.0,0.0,0.0,0.0,0.0946048266370049,94.60018253326416,83.97222456932067,42,stage2_high_train
472,0.0940062127977344,0.0,0.0,0.0,0.0,0.0,0.0944052886905814,102.7070050239563,84.12798299789429,42,stage2_high_train
488,0.0940062127977344,0.0,0.0,0.0,0.0,0.0,0.0942057507441579,112.7985634803772,85.42244791984558,42,stage2_high_train
502,0.0940062127977344,0.0,0.0,0.0,0.0,0.0,0.0940062127977344,106.24620008468628,86.07946076393128,42,stage2_high_train
516,0.0920062127977344,0.0,0.0,0.0,0.0,0.0,0.0938062127977344,99.30866241455078,87.51096982955933,42,stage2_high_train
528,0.0920062127977344,0.0,0.0,0.0,0.0,0.0,0.0936062127977344,80.78889226913452,90.65852918624878,42,stage2_high_train
533,0.0920062127977344,0.0,0.0,0.0,0.0,0.0,0.0934062127977344,43.05909776687622,88.65045237541199,42,stage2_high_train
546,0.0920062127977344,0.0,0.0,0.0,0.0,0.0,0.0932062127977344,79.49507570266724,85.43113522529602,42,stage2_high_train
563,0.0920062127977344,0.0,0.0,0.0,0.0,0.0,0.0930062127977344,107.14870548248292,87.6385449886322,42,stage2_high_train
577,0.0920062127977344,0.0,0.0,0.0,0.0,0.0,0.0928062127977344,92.32571601867676,91.84781007766723,42,stage2_high_train
589,0.0920062127977344,0.0,0.0,0.0,0.0,0.0,0.0926062127977344,91.8513731956482,91.57292914390564,42,stage2_high_train
605,0.0920062127977344,0.0,0.0,0.0,0.0,0.0,0.0924062127977344,112.30728530883788,92.5329571723938,42,stage2_high_train
619,0.0920062127977344,0.0,0.0,0.0,0.0,0.0,0.0922062127977344,98.5636191368103,91.10946273803712,42,stage2_high_train
634,0.0920062127977344,0.0,0.0,0.0,0.0,0.0,0.0920062127977344,107.5354790687561,91.2383906364441,42,stage2_high_train
649,0.0900062127977344,0.0,0.0,0.0,0.0,0.0,0.0918062127977344,113.29317569732666,92.63684196472168,42,stage2_high_train
661,0.0900062127977344,0.0,0.0,0.0,0.0,0.0,0.0916062127977344,98.9635705947876,94.45430979728698,42,stage2_high_train
674,0.0900062127977344,0.0,0.0,0.0,0.0,0.0,0.0914062127977344,98.8211750984192,100.03051753044129,42,stage2_high_train
687,0.0900062127977344,0.0,0.0,0.0,0.0,0.0,0.0912062127977344,79.578378200531,100.03884778022766,42,stage2_high_train
704,0.0900062127977344,0.0,0.0,0.0,0.0,0.0,0.0910062127977344,124.48094844818117,101.77207207679749,42,stage2_high_train
719,0.0900062127977344,0.0,0.0,0.0,0.0,0.0,0.0908062127977344,101.5301389694214,102.69251437187197,42,stage2_high_train
731,0.0900062127977344,0.0,0.0,0.0,0.0,0.0,0.0906062127977344,76.20488357543945,101.12786540985108,42,stage2_high_train
746,0.0900062127977344,0.0,0.0,0.0,0.0,0.0,0.0904062127977344,100.86248874664308,99.9833857536316,42,stage2_high_train
759,0.0900062127977344,0.0,0.0,0.0,0.0,0.0,0.0902062127977344,93.18604135513306,99.44562797546386,42,stage2_high_train
772,0.0880062127977344,0.0,0.0,0.0,0.0,0.0,0.0898062127977344,91.47825527191162,97.8399055957794,42,stage2_high_train
785,0.0880062127977344,0.0,0.0,0.0,0.0,0.0,0.0896062127977344,92.86683702468872,95.79727172851562,42,stage2_high_train
801,0.0880062127977344,0.1149999999999999,0.0,0.00625,0.0115,0.000625,0.0894062127977344,99.51975584030151,95.85289025306702,42,stage2_high_train
807,0.0880062127977344,0.0,0.0,0.0,0.0115,0.000625,0.0892062127977344,49.891573905944824,90.95993013381958,42,stage2_high_train
821,0.0880062127977344,0.0,0.0,0.0,0.0115,0.000625,0.0890062127977344,105.8630633354187,93.58839864730837,42,stage2_high_train
833,0.0880062127977344,0.1149999999999999,0.0,0.0083333333333333,0.023,0.0014583333333333,0.0888062127977344,82.00735187530518,89.34103899002075,42,stage2_high_train
