timesteps,episode_reward,episode_cost,episode_len,unsafe_rate,tps,latency,mask_ratio,lagrangian_lambda,constraint_violation,episode_seed,eligible_size_mean,eligible_size_std,trajectory_fingerprint,episode_repeat_ratio,recent_unique_trajectory_count,rolling_reward_mean,rolling_cost_mean,rolling_unsafe_mean,rolling_lambda_mean
120,150.24738159775734,0.2593939393939394,120,0.0,12736.30203974461,27.228826291682957,0.1699374999999997,0.1,0.0,42,11.583333333333334,2.6507336510650923,e40584ba92706d89e4204f869b7acce9b7413639b60c0fa111f713bdec369f74,0.0,1,150.24738159775734,0.2593939393939394,0.0,0.1
240,378.712391577661,0.0571428571428571,120,0.0,11801.668780842412,24.079855832164476,0.1359583333333333,0.1,0.0,43,10.908333333333331,2.822516115493801,0a0d2d345f77c9c2223521c68084ca7c6ea91a5c14f646984161de6582a15e90,0.0,2,264.4798865877092,0.1582683982683982,0.0,0.1
360,530.7237242460251,0.0,120,0.0,12178.074828241197,22.761725880958327,0.1906874999999999,0.1,0.0,44,11.6,2.381876011326643,b08032974b503c5487896129ece216b2374422e143e56eb1ef97f5266b2b7e90,0.0,3,353.2278324738145,0.1055122655122655,0.0,0.1
480,-14137.079449146986,0.0,120,0.0,6975.047661116364,25.956004006017448,0.076375,0.1,0.0,45,10.816666666666666,2.1601826054500357,a4e2d137fc3f62cace2e29c909850b222ae3da2331baa4f6cac4c2abfe345326,0.0,4,-3269.3489879313856,0.0791341991341991,0.0,0.1
600,228.2069473490119,0.0888888888888888,120,0.0,12402.041275107022,29.204607964816912,0.1037083333333332,0.0964158369401469,0.0,46,10.633333333333333,2.239543604298779,f43b3af2c5d736bb50fd78b045429ef5d77024c7955ecc7202248d52dc027dd7,0.0,5,-2569.837800875306,0.0810851370851371,0.0,0.0992831673880294
720,508.40507981181145,0.0,120,0.0,12602.820388058342,22.79673204033637,0.1508541666666665,0.0964158369401469,0.0,47,10.691666666666666,1.9183145090301428,c1e4f737b97be7228b292ca2e5c2339b64fdcfdf5826c5538ce3a110926af3f2,0.0,6,-2056.7973207607865,0.0675709475709475,0.0,0.098805278980049
840,385.44015866238624,0.0727272727272727,120,0.0,12717.542688040932,25.11542825933756,0.1579375,0.0964158369401469,0.0,48,10.975,2.4374252125279,c6c555a69b73ce0fd287a446887a0754f687213d0e21195a92f9e21cdf81cb77,0.0,7,-1707.9062522717618,0.0683075654504225,0.0,0.0984639301172058
960,325.9559979364276,0.0,120,0.0,11952.486877535825,26.13072131477782,0.2376458333333331,0.0964158369401469,0.0,49,12.25,1.742842505793336,d1dc688eb075636c32c9641d473ec6112a424cc513ab43fb80830b486c49cd54,0.0,8,-1453.6734709957382,0.0597691197691197,0.0,0.0982079184700735
1080,536.4684547632933,0.0571428571428571,120,0.0,12086.36901398564,24.69151640244475,0.1679791666666665,0.092820909992163,0.0,50,11.441666666666666,2.290545180131189,f62444acf9f768c8611f991261a5e3b38cd05499f051a511d5019fc54cfc601c,0.0,9,-1232.546590355846,0.0594773128106461,0.0,0.0976093619725279
1200,77.2141449674964,0.0,120,0.0,11645.18012757222,23.578325110046425,0.1031041666666667,0.092820909992163,0.0,51,10.758333333333333,2.4731755340497448,c8075ced0465bdeaded89e0c47164560789990a198baf946d1b5c1a8bdbae939,0.0,10,-1101.5705168235115,0.0535295815295815,0.0,0.0971305167744914
1320,240.33534971717745,0.0,120,0.0,11671.380748977446,28.777187342995106,0.1685833333333333,0.092820909992163,0.0,52,11.433333333333334,2.2683817041132093,b4462a01842d4d718b6d5a3181ef71d2e7bca1cc911ef3723a0a3e6af9d58bd2,0.0,11,-1092.5617200115696,0.0275901875901875,0.0,0.0964126077737077
1440,545.5651908516884,0.0444444444444444,120,0.0,11725.241441844346,27.196231065600845,0.1763749999999999,0.092820909992163,0.0,53,11.533333333333331,2.250678909919308,6fabce81c02ed306139b92ef193ff886986e4b9b2ba6f67d15fca35b0aa2ab49,0.0,12,-1075.876440084167,0.0263203463203463,0.0,0.095694698772924
1560,-578.1558446772397,1.1333333333333333,120,0.0083333333333333,11224.484391158689,29.54922628537441,0.1230833333333332,0.0892669169361936,0.0,54,11.441666666666666,2.250169746683321,9f3ec409bce24f667826ea2ec335a7961e99664d3834d3ceb87e35f9f3105c49,0.0,13,-1186.7643969764931,0.1396536796536796,0.0008333333333333,0.0946213904665433
1680,622.7876373529434,0.0,120,0.0,12011.69689427908,22.98838765546836,0.1820416666666665,0.0892669169361936,0.0,55,11.525,1.7462459735100315,ef84082135d8b6d629a7dc7f3a87855c855f6401afca65433d05992a70f84e8b,0.0,14,289.22231167349963,0.1396536796536796,0.0008333333333333,0.0935480821601627
1800,365.8905475847423,0.2285714285714285,120,0.0,12658.931469968937,26.096050267798542,0.1755208333333333,0.0892669169361936,0.0,56,11.891666666666667,2.7043046960150137,ddd885666edbeea92fc823c728637b0647febc10eee67c0770dab40a2ca07ba6,0.0,15,302.9906716970727,0.1536219336219336,0.0008333333333333,0.0928331901597674
1920,525.0636069774628,0.1142857142857143,120,0.0,12616.871933388682,23.4479441113954,0.1615208333333331,0.0892669169361936,0.0,57,11.45,2.3517723812761586,71ae918ac8d79402a31eef8a38d94fa782ee09ab0565710c1a040538ff85a4d3,0.0,16,304.65652441363784,0.165050505050505,0.0008333333333333,0.092118298159372
2040,-648.1841266322881,0.1587301587301587,120,0.0,11477.797553068169,22.91294725340056,0.0866458333333332,0.0892669169361936,0.0,58,10.466666666666669,2.7323168841764223,30a7bdb0e8c1d07e9a6990381b5caa9227191c1dd01c4fdfd3f7259f8b842f39,0.0,17,201.2940958841704,0.1736507936507936,0.0008333333333333,0.0914034061589767
2160,-34.41628710180521,0.0,120,0.0,12129.958859644035,24.01271936614586,0.1154791666666666,0.0856865101913223,0.0,59,11.183333333333334,2.6488467092092924,76748260bfed1c6022d5ca1f922beda4ac5b3f6daefb80f393c7433c42508eb9,0.0,18,165.2568673803471,0.1736507936507936,0.0008333333333333,0.0903304734840942
2280,616.7845259159803,0.0571428571428571,120,0.0,11833.427028794786,23.362000379918467,0.1640416666666665,0.0856865101913223,0.0,60,11.6,2.252406120870152,94114ee0e6fbc90936f6a244a6f0b06b2356427ebe7860f19dcc6e55cee10628,0.0,19,173.28847449561582,0.1736507936507936,0.0008333333333333,0.0896170335040102
2400,303.6550092631951,0.1015873015873016,120,0.0,12091.534480112246,26.11835435486839,0.1038125,0.0856865101913223,0.0,61,10.6,2.118962010041708,9ff6d4751adbb9d928dfdff9193e81a39da926693fc9a3750aa257d23eb9e2d6,0.0,20,195.93256092518567,0.1838095238095238,0.0008333333333333,0.0889035935239261
2520,495.7433490008116,0.0571428571428571,120,0.0,11469.8945736927,23.821752734541818,0.1559583333333333,0.0856865101913223,0.0,62,11.933333333333334,2.3795424396766336,7534ef9d6b264f1bf8045cdd9fe671b773d97680118277989f5b6c56cf652411,0.0,21,221.47336085354908,0.1895238095238095,0.0008333333333333,0.088190153543842
2640,543.3417534893379,0.0571428571428571,120,0.0,12134.303788735677,24.92349753618804,0.1793749999999998,0.0820971748743905,0.0,63,11.841666666666669,2.607667646682676,b940dc6626df2f6e6142149b72c59d3a9d0e9144db20b48b6f20990ace37e27c,0.0,22,221.25101711731403,0.1907936507936508,0.0008333333333333,0.0871177800320647
2760,403.3260696596699,0.1142857142857142,120,0.0,11155.159099085198,25.671610537077797,0.13325,0.0820971748743905,0.0,64,11.383333333333333,2.3846150399779207,064d85671555cc8c97cd9b7eb61107990ebe0858a142b4514dd40fd493e8bbaa,0.0,23,319.399208551005,0.0888888888888889,0.0,0.0864008058258844
2880,553.3882852494717,0.0444444444444444,120,0.0,11459.112236187966,24.16616344935398,0.1493749999999999,0.0820971748743905,0.0,65,11.616666666666667,2.802330379444143,f1e2d4e057f59cd9eb5f71016edad02baf3b7415cb6b7497988674a07fb6a309,0.0,24,312.45927334065783,0.0933333333333333,0.0,0.0856838316197041
3000,515.8650259301066,0.0,120,0.0,13019.75495959727,21.87061497742466,0.1725624999999999,0.0820971748743905,0.0,66,11.675,2.3564185395072115,a0c85c2883c33ca76de1c9445a4342dbbe66bd0f8886d53d749526758d776310,0.0,25,327.4567211751943,0.0704761904761905,0.0,0.0849668574135238
3120,509.6028962880373,0.1142857142857142,120,0.0,12433.603174625488,24.133223838995143,0.1569166666666665,0.0785078395574586,0.0,67,11.8,2.815433655170487,faf915cdfa56cd11096dabd5a50c633e38fdac38ec9761f1475e38f44b33da45,0.0,26,325.9106501062517,0.0704761904761905,0.0,0.0838909496756503
3240,658.2322988584638,0.0727272727272727,120,0.0,11902.305509224698,23.45213608075676,0.2065208333333332,0.0785078395574586,0.0,68,11.891666666666667,2.1786686811496128,965eddb0fa9077e376df59e2f3fcf31e86ff6961fd137ae953a01fff1e72ce34,0.0,27,456.5522926553269,0.0618759018759018,0.0,0.0828150419377768
3360,449.5188881792128,0.1142857142857142,120,0.0,11822.319541901816,23.354527966501667,0.1248541666666666,0.0785078395574586,0.0,69,11.208333333333334,2.2689786003593944,55a3e4e1987a35a300c289aedb5de569bafdce19b6054b436cf11b4b871eba02,0.0,28,504.9458101834287,0.0733044733044733,0.0,0.0820971748743905
